sequence_rank,priority,event_id,stream_key,entry_index,sample_ids,suggested_runtime_trigger_sample_ids,trigger_evidence,duration_ms,duration_seconds,audio_path,audio_status,scene_name,disc_usage,resource_path,runtime_trigger_sample_ids,runtime_status,japanese_status,korean_status,cue_status,package_status,review_notes
52,4,gr3_stream_0087,0x87,134,0x468;0x469,0x469,INFERRED_FROM_0x415_META_PATTERN,268949,268.949,audio/extracted/gr3_rendered_events/stream_0087.flac,PASS,,COMMON_ARCHIVE_RUNTIME_UNKNOWN,,,PENDING_RUNTIME_MAPPING,AUTO_TRANSCRIBED_REVIEW,PENDING_TRANSLATION,PENDING_CUES,PENDING_RESOURCE_STORAGE,
53,4,gr3_stream_0088,0x88,135,0x46A;0x46B,0x46B,INFERRED_FROM_0x415_META_PATTERN,150528,150.528,audio/extracted/gr3_rendered_events/stream_0088.flac,PASS,,COMMON_ARCHIVE_RUNTIME_UNKNOWN,,,PENDING_RUNTIME_MAPPING,AUTO_TRANSCRIBED_REVIEW,PENDING_TRANSLATION,PENDING_CUES,PENDING_RESOURCE_STORAGE,
54,2,gr3_stream_0089,0x89,136,0x46C;0x46D,0x46D,INFERRED_FROM_0x415_META_PATTERN,54059,54.059,audio/extracted/gr3_rendered_events/stream_0089.flac,PASS,,COMMON_ARCHIVE_RUNTIME_UNKNOWN,,,PENDING_RUNTIME_MAPPING,AUTO_TRANSCRIBED_REVIEW,PENDING_TRANSLATION,PENDING_CUES,PENDING_RESOURCE_STORAGE,
55,3,arcriff_temple_childhood_room_event_008a,0x8A,137,0x46E;0x46F,0x46F,INFERRED_FROM_0x415_META_PATTERN,117227,117.227,audio/extracted/gr3_rendered_events/stream_008a.flac,PASS,아크리프 신전의 어린 시절 방에서 유키와 알피나의 대화,DISC1_RUNTIME_PROVEN_DISC2_UNKNOWN,DATA/01090702.MDZ,0x46E,RUNTIME_SAVESTATE_PROVEN_SLOT1_GLOBAL_DUAL_SLOT,MANUAL_AUDIO_DUAL_CHANNEL_REVIEW,REVIEWED_CONTEXT,REVIEWED_60HZ_FULL_STREAM,PREPARE_ONLY_PENDING,2026-09-06 캡처에서 slot 1 request 0x046E resolved 0x046F stream 0x8A progress 1667 ticks를 확인. 자막 타이머 0은 기존 슬롯 디스패치 누락 증거. 기존 누락 구간 12.10~44.55초 10큐를 추가해 총 23큐로 완성.
56,3,arcriff_temple_ritual_watch_event_008b,0x8B,138,0x470;0x471,0x471,INFERRED_FROM_0x415_META_PATTERN,68096,68.096,audio/extracted/gr3_rendered_events/stream_008b.flac,PASS,,COMMON_ARCHIVE_RUNTIME_UNKNOWN,,,PENDING_RUNTIME_MAPPING,AUTO_TRANSCRIBED_REVIEW,PENDING_TRANSLATION,PENDING_CUES,PENDING_RESOURCE_STORAGE,
57,2,arcriff_temple_ritual_grau_event_008c,0x8C,139,0x472;0x473,0x473,INFERRED_FROM_0x415_META_PATTERN,59584,59.584,audio/extracted/gr3_rendered_events/stream_008c.flac,PASS,,COMMON_ARCHIVE_RUNTIME_UNKNOWN,,,PENDING_RUNTIME_MAPPING,AUTO_LOW_CONFIDENCE_REVIEW,PENDING_TRANSLATION,PENDING_CUES,PENDING_RESOURCE_STORAGE,
58,3,arcriff_temple_ritual_alfina_event_008d,0x8D,140,0x474;0x475,0x475,INFERRED_FROM_0x415_META_PATTERN,117525,117.525,audio/extracted/gr3_rendered_events/stream_008d.flac,PASS,,COMMON_ARCHIVE_RUNTIME_UNKNOWN,,,PENDING_RUNTIME_MAPPING,AUTO_TRANSCRIBED_REVIEW,PENDING_TRANSLATION,PENDING_CUES,PENDING_RESOURCE_STORAGE,
59,3,arcriff_temple_collapse_dunkel_warning_event_008e,0x8E,141,0x47A;0x47B,0x47B,INFERRED_FROM_0x415_META_PATTERN,61376,61.376,audio/extracted/gr3_rendered_events/stream_008e.flac,PASS,아크리프 신전 붕괴 후 듄켈의 경고,DISC1_RUNTIME_PROVEN_DISC2_UNKNOWN,DATA/00243500.MDZ,0x47A,RUNTIME_SPU_PROVEN_REVIEWED_CUES,MANUAL_AUDIO_SCENE_REVIEW,DRAFT_CONTEXT_REVIEWED,REVIEWED_60HZ_DRAFT,PREPARE_ONLY_PENDING,PCSX2 slot 8에서 EE request 0x047A와 active SPU2 voice가 GR3_STR 0x8E archive bytes에 일치함. slot 1의 0x0032→0x0033은 stopped/resident 상태라 현재 대사에서 제외.
60,2,raflid_ulf_randoto_plan_event_008f,0x8F,142,0x482;0x483,0x483,INFERRED_FROM_0x415_META_PATTERN,56597,56.597,audio/extracted/gr3_rendered_events/stream_008f.flac,PASS,라플리드 마을에서 울이 란도토행을 제안,DISC1_RUNTIME_PROVEN_DISC2_UNKNOWN,DATA/00217000.MDZ,0x482,RUNTIME_SPU_PROVEN_REVIEWED_CUES,MANUAL_AUDIO_SCENE_REVIEW,DRAFT_CONTEXT_REVIEWED,REVIEWED_60HZ_DRAFT,PREPARE_ONLY_PENDING,PCSX2 slot 6에서 slot 1 request 0x0482→resolved 0x0483과 active SPU2 voices 8/9가 GR3_STR 0x8F archive bytes에 일치함. 화면의 0x053E/0xC5는 stopped resident voice라 현재 대사에서 제외.
61,2,gr3_stream_0090,0x90,143,0x484;0x485,0x485,INFERRED_FROM_0x415_META_PATTERN,45397,45.397,audio/extracted/gr3_rendered_events/stream_0090.flac,PASS,그리프의 경고와 에메리우스의 선언이 이어지는 기억 장면,DISC1_RUNTIME_PROVEN_DISC2_UNKNOWN,DATA/01110802.MDZ,0x484,RUNTIME_SLOT0_REQUEST_RESOLVED_CONFIRMED,MANUAL_AUDIO_THREE_CHANNEL_REVIEW,REVIEWED_CONTEXT,REVIEWED_60HZ_FULL_STREAM,PREPARE_ONLY_PENDING,2026-09-07 사용자 캡처에서 slot 0 request/resolved 0x0484 stream 0x90 progress 743 ticks를 확인. timer 0은 기존 미등록 이벤트였기 때문. 45.397초 전체를 mix/left/right Whisper small로 교차 검수하고 실제 발화 5큐를 등록함.
62,1,inn_alfina_kitchen_work_event_0091,0x91,144,0x486;0x487,0x487,INFERRED_FROM_0x415_META_PATTERN,29269,29.269,audio/extracted/gr3_rendered_events/stream_0091.flac,PASS,여관 주방에서 허드렛일을 하는 알피나,DISC1_RUNTIME_PROVEN_DISC2_UNKNOWN,DATA/01111201.MDZ,0x486,RUNTIME_REQUEST_SLOT_SCENE_AUDIO_CONFIRMED_REVIEWED_CUES,MANUAL_AUDIO_SCENE_REVIEW,DRAFT_CONTEXT_REVIEWED,REVIEWED_60HZ_DRAFT,PREPARE_ONLY_PENDING,PCSX2 AA7AC8CC slot 5에서 표시와 slot 0 request/resolved가 모두 0x0486이고 GR3_STR 0x91에 대응함. 화면과 0x91 대사가 여관 주방 작업 장면에 일치함. 구 SPU2 core layout이라 ACTIVE_SPU_MATCH는 주장하지 않음. slot 1 0x001E→0x001F는 keybit 0x806 계열로 제외.
63,3,raflid_shiba_return_schmidt_event_0092,0x92,145,0x488;0x489,0x489,INFERRED_FROM_0x415_META_PATTERN,73173,73.173,audio/extracted/gr3_rendered_events/stream_0092.flac,PASS,시바를 타고 라플리드에 돌아와 슈미트와 재회,DISC1_RUNTIME_PROVEN_DISC2_UNKNOWN,DATA/00216000.MDZ,0x488,RUNTIME_REQUEST_SLOT_SCENE_AUDIO_CONFIRMED_REVIEWED_CUES,MANUAL_AUDIO_SCENE_REVIEW,DRAFT_CONTEXT_REVIEWED,REVIEWED_60HZ_DRAFT,PREPARE_ONLY_PENDING,PCSX2 AA7AC8CC slot 6에서 slot 1 request 0x0488→resolved 0x0489가 GR3_STR 0x92에 대응하고 화면·실제 대사가 귀환 및 슈미트 재회 장면과 일치함. 구 SPU2 core layout이라 ACTIVE_SPU_MATCH는 주장하지 않음. 표시·slot0 0x0486/0x91은 이전 여관 장면의 상주 스트림으로 제외.
64,3,raflid_inn_yuki_finds_alfina_event_0093,0x93,146,0x48C;0x48D,0x48D,INFERRED_FROM_0x415_META_PATTERN,76160,76.160,audio/extracted/gr3_rendered_events/stream_0093.flac,PASS,라플리드 여관에서 유키와 울이 회복한 알피나를 찾음,DISC1_RUNTIME_PROVEN_DISC2_UNKNOWN,DATA/00214100.MDZ,0x48C,RUNTIME_USER_PROBE_SCENE_AUDIO_CONFIRMED_REVIEWED_CUES,MANUAL_AUDIO_SCENE_REVIEW,DRAFT_CONTEXT_REVIEWED,REVIEWED_60HZ_DRAFT,PREPARE_ONLY_PENDING,사용자 probe의 DATA/00214100.MDZ 및 표시·slot0 0x048C/0x93과 정적 인덱스가 일치하고 원본 FLAC이 동일 일본어 장면 영상과 상관도 0.9670으로 일치함. 로컬 AA7AC8CC slot 7 파일은 이전 0xD4 장면이라 SAVESTATE_ACTIVE_SPU_MATCH는 주장하지 않음. slot1 0x0026→0x0027은 별도 비대사 요청으로 제외.
65,3,flight_to_dragon_valley_event_0094,0x94,147,0x48E;0x48F,0x48F,INFERRED_FROM_0x415_META_PATTERN,113493,113.493,audio/extracted/gr3_rendered_events/stream_0094.flac,PASS,비룡의 계곡으로 향하는 첫 비행,DISC1_RUNTIME_PROVEN_DISC2_UNKNOWN,DATA/01120102.MDZ,0x48E,RUNTIME_DUAL_SLOT_SCENE_AUDIO_CONFIRMED_FULL_AUDIO_REVIEWED_COMPLETE_CUES,FULL_AUDIO_MANUAL_SCENE_REVIEW,FULL_AUDIO_CONTEXT_REVIEWED,REVIEWED_60HZ_COMPLETE,PREPARE_ONLY_PASS,PCSX2 EACDE22A slot 5에서 DATA/01120102.MDZ와 slot1 request 0x048E→resolved 0x048F/stream 0x94가 58.05초 진행 중이며 표시값도 0x048F/0x94로 일치했다. 같은 시점 subtitle timer는 0이어서 미디스패치를 확인했다. 전체 113.493초를 mix/left/right로 재검수해 기존 소음 오판을 폐기하고 14.32~79.18초의 실제 대사 14큐를 복구했다. 기존 후반 4큐와 합쳐 총 18큐이며 runtime 주소 0x00213550/0x002135DC를 모두 명시했다. prepare-only에서 두 슬롯 dispatch row와 18큐 패킹을 검증했다.
66,3,dragon_valley_missing_guards_flight_event_0095,0x95,148,0x490;0x491,0x491,INFERRED_FROM_0x415_META_PATTERN,116480,116.480,audio/extracted/gr3_rendered_events/stream_0095.flac,PASS,비룡의 계곡에서 보초가 사라진 것을 알아챔,DISC1_RUNTIME_PROVEN_DISC2_UNKNOWN,DATA/00270100.MDZ,0x490,RUNTIME_DUAL_SLOT_SCENE_AUDIO_CONFIRMED_FULL_AUDIO_REVIEWED_COMPLETE_CUES,MANUAL_FULL_AUDIO_CHANNEL_REVIEW,HUMAN_CONTEXT_REVIEWED,REVIEWED_COMPLETE_60HZ_CUES,PREPARE_ONLY_PASS,PCSX2 EACDE22A slot 6에서 현재 음성은 slot0 request/resolved 0x0490/stream 0x95이며 27.75초 진행 중이었다. 표시·slot1의 0x048F/0x94는 113.05초에서 끝난 직전 스트림 잔존값이다. 116.48초 전체를 혼합·좌·우 채널과 표적 구간으로 재검수해 기존 3큐를 16큐로 확장했고 실제 대사는 9.1~99.3초에 분포한다. 포효·비명·비행 소음과 반복 토큰 환각은 제외했다. 두 안정 요청 슬롯 0x00213550/0x002135DC를 모두 등록했으며 ISO는 생성하지 않았다.
67,3,wind_shrine_drak_audience_event_0096,0x96,149,0x492;0x493,0x493,INFERRED_FROM_0x415_META_PATTERN,104981,104.981,audio/extracted/gr3_rendered_events/stream_0096.flac,PASS,바람의 성지에서 울 일행이 드라크를 알현,DISC1_RUNTIME_PROVEN_DISC2_UNKNOWN,DATA/01120301.MDZ,0x492,RUNTIME_REQUEST_SLOT_SCENE_AUDIO_CONFIRMED_REVIEWED_CUES,MANUAL_AUDIO_SCENE_REVIEW,DRAFT_CONTEXT_REVIEWED,REVIEWED_60HZ_DRAFT,PREPARE_ONLY_PASS,PCSX2 AA7AC8CC slot 3에서 현재 MDZ와 표시·slot0 request/resolved가 모두 0x0492/0x96으로 일치함. slot0 진행값 887 ticks(14.783초)가 울의 첫 대사 14.140~20.500초와 일치. slot1 0x0038→0x0039는 keybit 0x817이라 제외. 구 SPU2 layout이라 ACTIVE_SPU_MATCH는 주장하지 않음. 기존 ドラク 반복 전사는 환각으로 폐기하고 동일 일본어 영상 캡션과 원음으로 실제 대사 17큐를 복원.
68,4,wind_shrine_drak_orb_event_0097,0x97,150,0x494;0x495,0x495,INFERRED_FROM_0x415_META_PATTERN,129173,129.173,audio/extracted/gr3_rendered_events/stream_0097.flac,PASS,비룡왕 드라크와 대화,DISC1_RUNTIME_PROVEN_DISC2_UNKNOWN,DATA/01120501.MDZ,0x494,RUNTIME_REQUEST_SLOT_SCENE_AUDIO_CONFIRMED_REVIEWED_CUES,MANUAL_AUDIO_SCENE_REVIEW,DRAFT_CONTEXT_REVIEWED,REVIEWED_60HZ_DRAFT,PREPARE_ONLY_PASS,PCSX2 AA7AC8CC slot 4에서 현재 MDZ는 DATA/01120501.MDZ이고 실제 대화는 slot0 request/resolved 0x0494/stream 0x97이다. slot0 진행값 1185 ticks(19.750초)가 알피나의 인사 18.200~24.500초와 일치하고 상태저장 화면에도 알피나가 보인다. 표시·slot1 0x0038→0x0039는 keybit 0x817이라 제외. 구 SPU2 layout이라 ACTIVE_SPU_MATCH는 주장하지 않음. 동일 일본어 영상 원음과 +138.89초로 정렬하고 실제 대사 12큐를 복원.
69,3,bakula_village_ruiri_argument_event_0098,0x98,151,0x4A6;0x4A7,0x4A7,INFERRED_FROM_0x415_META_PATTERN,104981,104.981,audio/extracted/gr3_rendered_events/stream_0098.flac,PASS,바쿠라 촌락 루이리와 주민들의 언쟁,DISC1_RUNTIME_PROVEN_DISC2_UNKNOWN,DATA/01140201.MDZ,0x4A6,RUNTIME_REQUEST_SLOT_SCENE_AUDIO_CONFIRMED_REVIEWED_CUES,MANUAL_AUDIO_SCENE_REVIEW,DRAFT_CONTEXT_REVIEWED,REVIEWED_60HZ_DRAFT,PREPARE_ONLY_PASS,PCSX2 5B659BED slot 10에서 현재 MDZ는 DATA/01140201.MDZ이고 실제 대화는 slot0 request/resolved 0x04A6/stream 0x98이다. slot0 진행값 1009 ticks(16.817초)가 루이리의 두 번째 대사 14.420~18.500초와 일치하고 상태저장 화면도 바쿠라 주민 언쟁 장면이다. 표시·slot1 0x003E→0x003F는 keybit 0x819라 제외. 구 SPU2 layout이라 ACTIVE_SPU_MATCH는 주장하지 않음. 기존 전반 30초 반복 환각을 폐기하고 실제 대사 15큐를 복원.
70,4,bakula_chief_tent_dahna_event_0099,0x99,152,0x4A8;0x4A9,0x4A9,INFERRED_FROM_0x415_META_PATTERN,164864,164.864,audio/extracted/gr3_rendered_events/stream_0099.flac,PASS,바쿠라 족장의 텐트에서 다나와 첫 대면,DISC1_RUNTIME_PROVEN_DISC2_UNKNOWN,DATA/00360100.MDZ,0x4A8,RUNTIME_REQUEST_SLOT_SCENE_AUDIO_CONFIRMED_REVIEWED_CUES,MANUAL_AUDIO_SCENE_REVIEW,DRAFT_CONTEXT_REVIEWED,REVIEWED_60HZ_DRAFT,PREPARE_ONLY_PASS,PCSX2 5B659BED slot 9에서 현재 MDZ는 DATA/00360100.MDZ이고 실제 대화는 slot0 request/resolved 0x04A8/stream 0x99이다. slot0 진행값 1801 ticks(30.017초)가 다나의 자기소개 25.000~30.820초와 일치하고 상태저장 화면에도 다나가 말하는 모습이 보인다. 표시·slot1 0x003E→0x003F는 keybit 0x819라 제외. 구 SPU2 layout이라 ACTIVE_SPU_MATCH는 주장하지 않음. 기존 반복 私 자동 전사를 폐기하고 실제 대사 19큐를 복원.
71,3,gr3_stream_009a,0x9A,153,0x4AA;0x4AB,0x4AB,INFERRED_FROM_0x415_META_PATTERN,99307,99.307,audio/extracted/gr3_rendered_events/stream_009a.flac,PASS,,COMMON_ARCHIVE_RUNTIME_UNKNOWN,,,PENDING_RUNTIME_MAPPING,AUTO_TRANSCRIBED_REVIEW,PENDING_TRANSLATION,PENDING_CUES,PENDING_RESOURCE_STORAGE,
72,2,gr3_stream_009b,0x9B,154,0x4AE;0x4AF,0x4AE,RUNTIME_REQUEST_SLOT_AND_ACTIVE_SPU_MATCH,54357,54.357,audio/extracted/gr3_rendered_events/stream_009b.flac,PASS,성수 요우트를 공격하려는 코넬·비올레타 저지,DISC1_RUNTIME_PROVEN_DISC2_UNKNOWN,DATA/00397700.MDZ,0x4AE,RUNTIME_ACTIVE_SPU_MATCH_SCENE_AUDIO_CONFIRMED_REVIEWED_CUES,MANUAL_AUDIO_SCENE_REVIEW,DRAFT_CONTEXT_REVIEWED,REVIEWED_60HZ_DRAFT,PREPARE_ONLY_PASS,PCSX2 AB792ED0 slot 10에서 slot0 request/resolved 0x04AE가 stream 0x9B이며 active core0 voice 0/1의 시작 바이트가 원본 stream payload와 각각 64바이트 일치. 표시·slot1 0x0048→0x0049는 자막 키에서 제외. 실제 9개 발화를 재분할·번역해 cue로 등록. prepare-only 누적 빌드 58 events/651 cues PASS.
73,3,bakula_kornell_violetta_defeat_event_009c,0x9C,155,0x4B0;0x4B1,0x4B0,RUNTIME_REQUEST_SLOT_AND_ACTIVE_SPU_MATCH,96917,96.917,audio/extracted/gr3_rendered_events/stream_009c.flac,PASS,비올레타와 코넬 패배,DISC1_RUNTIME_PROVEN_DISC2_UNKNOWN,DATA/00390500.MDZ,0x4B0,RUNTIME_ACTIVE_SPU_MATCH_SCENE_AUDIO_CONFIRMED_REVIEWED_CUES,MANUAL_AUDIO_SCENE_REVIEW,DRAFT_CONTEXT_REVIEWED,REVIEWED_60HZ_DRAFT,PREPARE_ONLY_PASS,"State slot 1 confirms slot0 0x4B0/stream 0x9C; both active core0 SPU2 voices byte-match the stream. Five voiced cues reviewed; grunts/noise excluded. Prepare-only cumulative package PASS: 59 events, 656 cues, 595 glyphs."
74,3,bakula_yout_guidance_event_009d,0x9D,156,0x4B2;0x4B3,0x4B2,RUNTIME_REQUEST_SLOT_AND_ACTIVE_SPU_MATCH,100949,100.949,audio/extracted/gr3_rendered_events/stream_009d.flac,PASS,비올레타와 코넬 퇴각 후 신수 요우토와 대화,DISC1_RUNTIME_PROVEN_DISC2_UNKNOWN,DATA/00390500.MDZ,0x4B2,RUNTIME_ACTIVE_SPU_MATCH_SCENE_AUDIO_CONFIRMED_REVIEWED_CUES,MANUAL_AUDIO_SCENE_REVIEW,DRAFT_CONTEXT_REVIEWED,REVIEWED_60HZ_DRAFT,PREPARE_ONLY_PASS,"State slot 2 confirms slot0 0x4B2/stream 0x9D; both active core0 SPU2 voices byte-match the stream. Fifteen voiced cues reviewed; echoed speech cross-checked against resource text and scene context. Prepare-only cumulative package PASS: 60 events, 671 cues, 597 glyphs."
75,3,bakula_hell_asel_departure_ruiri_event_009e,0x9E,157,0x4B4;0x4B5,0x4B4,RUNTIME_REQUEST_SLOT_AND_ACTIVE_SPU_MATCH,109909,109.909,audio/extracted/gr3_rendered_events/stream_009e.flac,PASS,헬 아셀로 가기 전 다나와 루이리의 화해,DISC1_RUNTIME_PROVEN_DISC2_UNKNOWN,DATA/00330300.MDZ,0x4B4,RUNTIME_ACTIVE_SPU_MATCH_SCENE_AUDIO_CONFIRMED_REVIEWED_CUES,MANUAL_AUDIO_SCENE_REVIEW,DRAFT_CONTEXT_REVIEWED,REVIEWED_60HZ_DRAFT,PREPARE_ONLY_PASS,"State slot 3 confirms display and slot0 0x4B4/stream 0x9E; both active core0 SPU2 voices byte-match the stream. Nineteen voiced cues reviewed; initial 0-12s non-dialogue removed. Prepare-only cumulative package PASS: 61 events, 690 cues, 598 glyphs."
76,3,bakula_hell_asel_gate_event_009f,0x9F,158,0x4B6;0x4B7,0x4B7,RUNTIME_REQUEST_SLOT_AND_ACTIVE_SPU_MATCH,84224,84.224,audio/extracted/gr3_rendered_events/stream_009f.flac,PASS,족장의 증표를 끼우고 헬 아셀로 진입,DISC1_RUNTIME_PROVEN_DISC2_UNKNOWN,DATA/00330400.MDZ,0x4B7,RUNTIME_ACTIVE_SPU_MATCH_SCENE_AUDIO_CONFIRMED_REVIEWED_CUES,MANUAL_AUDIO_SCENE_REVIEW,DRAFT_CONTEXT_REVIEWED,REVIEWED_60HZ_DRAFT,PREPARE_ONLY_PASS,"State slot 4 confirms display 0x4B7 and slot1 request 0x4B6/resolved 0x4B7 for stream 0x9F; both active core0 SPU2 voices byte-match the stream. Thirteen voiced cues reviewed; initial 0-6s non-dialogue removed. Prepare-only cumulative package PASS: 62 events, 703 cues, 599 glyphs."
77,3,flight_with_miranda_event_00a0,0xA0,159,0x4BA;0x4BB,0x4BB,INFERRED_FROM_0x415_META_PATTERN,75861,75.861,audio/extracted/gr3_rendered_events/stream_00a0.flac,PASS,,COMMON_ARCHIVE_RUNTIME_UNKNOWN,,,PENDING_RUNTIME_MAPPING,AUTO_LOW_CONFIDENCE_REVIEW,PENDING_TRANSLATION,PENDING_CUES,PENDING_RESOURCE_STORAGE,
78,4,moonlight_camp_continuation_event_00a1,0xA1,160,0x4BC;0x4BD,0x4BD,INFERRED_FROM_0x415_META_PATTERN,173973,173.973,audio/extracted/gr3_rendered_events/stream_00a1.flac,PASS,안포그 숲 달빛 대화 후반,DISC1_RUNTIME_PROVEN_DISC2_UNKNOWN,DATA/00061100.MDZ,0x4BC,RUNTIME_SAVESTATE_PROVEN_DUAL_SLOT_DIRECT_CONTINUATION,NEEDS_AUDIO_REVIEW,DRAFT_CONTEXT_REVIEWED,DIRECT_CUES_60HZ_DRAFT,PREPARE_ONLY_PENDING,"Older state CC624658 proves live 0x4BC/0x4BD stream 0xA1 in slot0 while stale ended 0x420/0x421 remains in slot1. New state CC62465A slot 2 proves the rotation can reverse: stale ended 0x420 remains in slot0 while live 0x4BC/0x4BD stream 0xA1 is in slot1 at 157 ticks. The observed timer-to-audio offsets differ (3310 versus 3133 ticks), so the fragile chained schedule was replaced by a direct dual-slot 0xA1 event with its own local cue times."
79,1,gr3_stream_00a4,0xA4,163,0x4C8;0x4C9,0x4C9,INFERRED_FROM_0x415_META_PATTERN,17621,17.621,audio/extracted/gr3_rendered_events/stream_00a4.flac,PASS,,COMMON_ARCHIVE_RUNTIME_UNKNOWN,,,PENDING_RUNTIME_MAPPING,AUTO_LOW_CONFIDENCE_REVIEW,PENDING_TRANSLATION,PENDING_CUES,PENDING_RESOURCE_STORAGE,
80,1,gr3_stream_00a5,0xA5,164,0x4CA;0x4CB,0x4CB,INFERRED_FROM_0x415_META_PATTERN,29717,29.717,audio/extracted/gr3_rendered_events/stream_00a5.flac,PASS,,COMMON_ARCHIVE_RUNTIME_UNKNOWN,,,PENDING_RUNTIME_MAPPING,AUTO_LOW_CONFIDENCE_REVIEW,PENDING_TRANSLATION,PENDING_CUES,PENDING_RESOURCE_STORAGE,
81,1,gr3_stream_00a6,0xA6,165,0x4CC;0x4CD,0x4CD,INFERRED_FROM_0x415_META_PATTERN,11349,11.349,audio/extracted/gr3_rendered_events/stream_00a6.flac,PASS,,COMMON_ARCHIVE_RUNTIME_UNKNOWN,,,PENDING_RUNTIME_MAPPING,AUTO_LOW_CONFIDENCE_REVIEW,PENDING_TRANSLATION,PENDING_CUES,PENDING_RESOURCE_STORAGE,
82,4,gr3_stream_00a7,0xA7,166,0x4CE;0x4CF,0x4CF,INFERRED_FROM_0x415_META_PATTERN,210411,210.411,audio/extracted/gr3_rendered_events/stream_00a7.flac,PASS,,COMMON_ARCHIVE_RUNTIME_UNKNOWN,,,PENDING_RUNTIME_MAPPING,AUTO_TRANSCRIBED_REVIEW,PENDING_TRANSLATION,PENDING_CUES,PENDING_RESOURCE_STORAGE,
83,4,gr3_stream_00a8,0xA8,167,0x4D2;0x4D3,0x4D3,INFERRED_FROM_0x415_META_PATTERN,149632,149.632,audio/extracted/gr3_rendered_events/stream_00a8.flac,PASS,,COMMON_ARCHIVE_RUNTIME_UNKNOWN,,,PENDING_RUNTIME_MAPPING,AUTO_TRANSCRIBED_REVIEW,PENDING_TRANSLATION,PENDING_CUES,PENDING_RESOURCE_STORAGE,
84,4,gr3_stream_00a9,0xA9,168,0x4D6;0x4D7,0x4D7,INFERRED_FROM_0x415_META_PATTERN,128277,128.277,audio/extracted/gr3_rendered_events/stream_00a9.flac,PASS,,COMMON_ARCHIVE_RUNTIME_UNKNOWN,,,PENDING_RUNTIME_MAPPING,AUTO_TRANSCRIBED_REVIEW,PENDING_TRANSLATION,PENDING_CUES,PENDING_RESOURCE_STORAGE,
85,2,gr3_stream_00aa,0xAA,169,0x4DA;0x4DB,0x4DB,INFERRED_FROM_0x415_META_PATTERN,30315,30.315,audio/extracted/gr3_rendered_events/stream_00aa.flac,PASS,,COMMON_ARCHIVE_RUNTIME_UNKNOWN,,,PENDING_RUNTIME_MAPPING,AUTO_TRANSCRIBED_REVIEW,PENDING_TRANSLATION,PENDING_CUES,PENDING_RESOURCE_STORAGE,
86,4,gr3_stream_00ab,0xAB,170,0x4DC;0x4DD,0x4DD,INFERRED_FROM_0x415_META_PATTERN,178752,178.752,audio/extracted/gr3_rendered_events/stream_00ab.flac,PASS,,COMMON_ARCHIVE_RUNTIME_UNKNOWN,,,PENDING_RUNTIME_MAPPING,AUTO_TRANSCRIBED_REVIEW,PENDING_TRANSLATION,PENDING_CUES,PENDING_RESOURCE_STORAGE,
87,4,gr3_stream_00ac,0xAC,171,0x4DE;0x4DF,0x4DF,INFERRED_FROM_0x415_META_PATTERN,130517,130.517,audio/extracted/gr3_rendered_events/stream_00ac.flac,PASS,,COMMON_ARCHIVE_RUNTIME_UNKNOWN,,,PENDING_RUNTIME_MAPPING,AUTO_TRANSCRIBED_REVIEW,PENDING_TRANSLATION,PENDING_CUES,PENDING_RESOURCE_STORAGE,
88,3,gr3_stream_00ad,0xAD,172,0x4E0;0x4E1,0x4E1,INFERRED_FROM_0x415_META_PATTERN,104235,104.235,audio/extracted/gr3_rendered_events/stream_00ad.flac,PASS,,COMMON_ARCHIVE_RUNTIME_UNKNOWN,,,PENDING_RUNTIME_MAPPING,AUTO_TRANSCRIBED_REVIEW,PENDING_TRANSLATION,PENDING_CUES,PENDING_RESOURCE_STORAGE,
89,2,gr3_stream_00ae,0xAE,173,0x4E2;0x4E3,0x4E3,INFERRED_FROM_0x415_META_PATTERN,40320,40.320,audio/extracted/gr3_rendered_events/stream_00ae.flac,PASS,,COMMON_ARCHIVE_RUNTIME_UNKNOWN,,,PENDING_RUNTIME_MAPPING,AUTO_TRANSCRIBED_REVIEW,PENDING_TRANSLATION,PENDING_CUES,PENDING_RESOURCE_STORAGE,
90,3,gr3_stream_00af,0xAF,174,0x4E4;0x4E5,0x4E5,INFERRED_FROM_0x415_META_PATTERN,76160,76.160,audio/extracted/gr3_rendered_events/stream_00af.flac,PASS,,COMMON_ARCHIVE_RUNTIME_UNKNOWN,,,PENDING_RUNTIME_MAPPING,AUTO_TRANSCRIBED_REVIEW,PENDING_TRANSLATION,PENDING_CUES,PENDING_RESOURCE_STORAGE,
91,3,gr3_stream_00b0,0xB0,175,0x4E6;0x4E7,0x4E7,INFERRED_FROM_0x415_META_PATTERN,101696,101.696,audio/extracted/gr3_rendered_events/stream_00b0.flac,PASS,,COMMON_ARCHIVE_RUNTIME_UNKNOWN,,,PENDING_RUNTIME_MAPPING,AUTO_TRANSCRIBED_REVIEW,PENDING_TRANSLATION,PENDING_CUES,PENDING_RESOURCE_STORAGE,
92,3,gr3_stream_00b1,0xB1,176,0x4E8;0x4E9,0x4E9,INFERRED_FROM_0x415_META_PATTERN,99904,99.904,audio/extracted/gr3_rendered_events/stream_00b1.flac,PASS,,COMMON_ARCHIVE_RUNTIME_UNKNOWN,,,PENDING_RUNTIME_MAPPING,AUTO_TRANSCRIBED_REVIEW,PENDING_TRANSLATION,PENDING_CUES,PENDING_RESOURCE_STORAGE,
