character,unicode,usage_count,categories
돌,U+B3CC,646,BATTLE_CHATTER;BATTLE_HELP;FIELD_TABLE;ITEM;MAGIC;NPC_DIALOGUE;SCENARIO;SKILL;SYSTEM
돔,U+B3D4,1,ENEMY
돕,U+B3D5,22,BATTLE_CHATTER;NPC_DIALOGUE;SCENARIO
돗,U+B3D7,2,NPC_DIALOGUE
동,U+B3D9,515,BATTLE;BATTLE_CHATTER;BATTLE_HELP;ENEMY_ACTION;EQUIPMENT;FIELD_TABLE;ITEM;MAGIC;NPC_DIALOGUE;SCENARIO;SKILL;SKILL_EFFECT;STATUS;SYSTEM
돼,U+B3FC,311,BATTLE_CHATTER;BATTLE_HELP;ENEMY;NPC_DIALOGUE;SCENARIO
됐,U+B410,964,BATTLE;BATTLE_CHATTER;NPC_DIALOGUE;SCENARIO
되,U+B418,706,BATTLE_CHATTER;BATTLE_HELP;EQUIPMENT;ITEM;MAGIC;NPC_DIALOGUE;SCENARIO;SKILL;SYSTEM
된,U+B41C,292,BATTLE_CHATTER;ITEM;NPC_DIALOGUE;SCENARIO
될,U+B420,187,ITEM;NPC_DIALOGUE;SCENARIO
됨,U+B428,1,SYSTEM
됩,U+B429,30,BATTLE_CHATTER;BATTLE_HELP;EQUIPMENT;NPC_DIALOGUE;SCENARIO;STATUS;SYSTEM
두,U+B450,2631,BATTLE;BATTLE_CHATTER;ENEMY;ENEMY_ACTION;EQUIPMENT;FIELD_TABLE;ITEM;NPC_DIALOGUE;SCENARIO;SKILL;SYSTEM
둑,U+B451,20,NPC_DIALOGUE;SCENARIO
둔,U+B454,109,BATTLE_CHATTER;NPC_DIALOGUE;SCENARIO
둘,U+B458,202,BATTLE_CHATTER;NPC_DIALOGUE;SCENARIO
둠,U+B460,7,ENEMY;ENEMY_ACTION;ITEM;NPC_DIALOGUE;SCENARIO
둡,U+B461,1,NPC_DIALOGUE
둥,U+B465,81,NPC_DIALOGUE;SCENARIO
둬,U+B46C,98,NPC_DIALOGUE;SCENARIO
뒀,U+B480,11,NPC_DIALOGUE
뒤,U+B4A4,211,FIELD_TABLE;NPC_DIALOGUE;SCENARIO;SYSTEM
뒷,U+B4B7,12,NPC_DIALOGUE;SCENARIO
듀,U+B4C0,8,ENEMY;ITEM;MAGIC;NPC_DIALOGUE
듄,U+B4C4,46,NPC_DIALOGUE
드,U+B4DC,688,BATTLE_CHATTER;BATTLE_HELP;ENEMY;ENEMY_ACTION;FIELD;FIELD_RUNTIME;FIELD_TABLE;ITEM;MAGIC;NPC_DIALOGUE;NPC_SPEAKER_NAME;SCENARIO;SKILL;SKILL_EFFECT;SYSTEM
득,U+B4DD,67,BATTLE;BATTLE_HELP;ENEMY_ACTION;ITEM;NPC_DIALOGUE;SCENARIO;STATUS;SYSTEM
든,U+B4E0,830,BATTLE_CHATTER;ITEM;MAGIC;NPC_DIALOGUE;SCENARIO;SKILL;SKILL_EFFECT
듣,U+B4E3,92,ITEM;NPC_DIALOGUE;SCENARIO
들,U+B4E4,2018,BATTLE_CHATTER;ENEMY_ACTION;FIELD_TABLE;ITEM;NPC_DIALOGUE;NPC_SPEAKER_NAME;SCENARIO;SKILL;SYSTEM
듬,U+B4EC,15,FIELD_TABLE;NPC_DIALOGUE;SCENARIO
듭,U+B4ED,7,BATTLE_CHATTER;NPC_DIALOGUE;SKILL;SYSTEM
듯,U+B4EF,44,BATTLE_CHATTER;ITEM;NPC_DIALOGUE;SCENARIO
등,U+B4F1,56,NPC_DIALOGUE;SCENARIO
디,U+B514,719,BATTLE_CHATTER;ENEMY;ENEMY_ACTION;FIELD;FIELD_RUNTIME;FIELD_TABLE;ITEM;MAGIC;NPC_DIALOGUE;NPC_SPEAKER_NAME;SCENARIO;SYSTEM
딘,U+B518,75,ITEM;NPC_DIALOGUE;SCENARIO
딜,U+B51C,19,ITEM;NPC_DIALOGUE;SCENARIO
딨,U+B528,1,NPC_DIALOGUE
딪,U+B52A,23,ITEM;MAGIC;NPC_DIALOGUE
따,U+B530,229,BATTLE_HELP;EQUIPMENT;NPC_DIALOGUE;SCENARIO;SYSTEM
딱,U+B531,102,ITEM;NPC_DIALOGUE;SCENARIO
딴,U+B534,13,NPC_DIALOGUE
딸,U+B538,60,NPC_DIALOGUE;NPC_SPEAKER_NAME;SCENARIO
땀,U+B540,12,NPC_DIALOGUE;SCENARIO
땅,U+B545,103,ITEM;MAGIC;NPC_DIALOGUE;SKILL;SKILL_EFFECT;STATUS;SYSTEM
때,U+B54C,927,BATTLE_CHATTER;BATTLE_HELP;EQUIPMENT;ITEM;NPC_DIALOGUE;SCENARIO;STATUS;SYSTEM
땐,U+B550,38,NPC_DIALOGUE
땠,U+B560,14,NPC_DIALOGUE;SCENARIO
땡,U+B561,7,NPC_DIALOGUE
떠,U+B5A0,245,ITEM;NPC_DIALOGUE;SCENARIO;STATUS;SYSTEM
떡,U+B5A1,10,NPC_DIALOGUE
떤,U+B5A4,176,NPC_DIALOGUE;SCENARIO
떨,U+B5A8,116,BATTLE_CHATTER;ENEMY_ACTION;ITEM;MAGIC;NPC_DIALOGUE;SCENARIO
떫,U+B5AB,4,NPC_DIALOGUE
떴,U+B5B4,2,NPC_DIALOGUE
떻,U+B5BB,293,BATTLE_CHATTER;NPC_DIALOGUE;SCENARIO
떼,U+B5BC,35,BATTLE_CHATTER;NPC_DIALOGUE;SCENARIO
뗀,U+B5C0,1,NPC_DIALOGUE
뗄,U+B5C4,3,NPC_DIALOGUE
또,U+B610,262,NPC_DIALOGUE;SCENARIO;SYSTEM
똑,U+B611,59,NPC_DIALOGUE;SCENARIO
똥,U+B625,4,NPC_DIALOGUE
뚜,U+B69C,2,NPC_DIALOGUE
뚝,U+B69D,5,NPC_DIALOGUE;SCENARIO
뚤,U+B6A4,1,NPC_DIALOGUE
뚫,U+B6AB,20,ENEMY_ACTION;ITEM;NPC_DIALOGUE;SCENARIO;SKILL
뚱,U+B6B1,11,NPC_DIALOGUE;SCENARIO
뛰,U+B6F0,51,BATTLE_CHATTER;FIELD_TABLE;ITEM;NPC_DIALOGUE;SCENARIO;SYSTEM
뛴,U+B6F4,1,ITEM
뛸,U+B6F8,1,SYSTEM
뜁,U+B701,1,SYSTEM
뜨,U+B728,148,BATTLE_CHATTER;BATTLE_HELP;ITEM;MAGIC;NPC_DIALOGUE;SCENARIO
뜩,U+B729,41,NPC_DIALOGUE;SCENARIO
뜬,U+B72C,12,ITEM;NPC_DIALOGUE
뜯,U+B72F,11,NPC_DIALOGUE;SCENARIO
뜸,U+B738,2,NPC_DIALOGUE
뜻,U+B73B,179,BATTLE_CHATTER;NPC_DIALOGUE;SCENARIO
띄,U+B744,18,NPC_DIALOGUE
띤,U+B764,2,ITEM
라,U+B77C,3682,BATTLE_CHATTER;BATTLE_HELP;ENEMY;ENEMY_ACTION;EQUIPMENT;FIELD;FIELD_RUNTIME;FIELD_TABLE;ITEM;MAGIC;NPC_DIALOGUE;NPC_SPEAKER_NAME;SCENARIO;SKILL;SYSTEM
락,U+B77D,132,FIELD;FIELD_RUNTIME;FIELD_TABLE;ITEM;NPC_DIALOGUE;SCENARIO;SYSTEM
란,U+B780,519,BATTLE;BATTLE_HELP;CHARACTER;ENEMY_ACTION;FIELD;FIELD_RUNTIME;FIELD_TABLE;ITEM;MAGIC;NPC_DIALOGUE;NPC_SPEAKER_NAME;SCENARIO;STATUS;SYSTEM
랄,U+B784,67,NPC_DIALOGUE;SCENARIO
람,U+B78C,1004,BATTLE_CHATTER;ENEMY;ENEMY_ACTION;FIELD_TABLE;ITEM;MAGIC;NPC_DIALOGUE;SCENARIO;SKILL;SKILL_EFFECT;STATUS;SYSTEM
랍,U+B78D,7,NPC_DIALOGUE;SCENARIO
랏,U+B78F,12,NPC_DIALOGUE
랐,U+B790,105,NPC_DIALOGUE;SCENARIO
랑,U+B791,397,ENEMY_ACTION;FIELD_TABLE;ITEM;NPC_DIALOGUE;NPC_SPEAKER_NAME;SCENARIO
랗,U+B797,2,NPC_DIALOGUE
래,U+B798,1726,BATTLE_CHATTER;BATTLE_HELP;ENEMY;ENEMY_ACTION;FIELD_TABLE;ITEM;MAGIC;NPC_DIALOGUE;SCENARIO;SKILL;SYSTEM
랙,U+B799,1,SCENARIO
랜,U+B79C,75,ENEMY;ENEMY_ACTION;ITEM;NPC_DIALOGUE;SCENARIO;SKILL
램,U+B7A8,2,ENEMY_ACTION
랫,U+B7AB,22,ENEMY_ACTION;NPC_DIALOGUE
랬,U+B7AC,70,NPC_DIALOGUE;SCENARIO
랴,U+B7B4,2,NPC_DIALOGUE
략,U+B7B5,1,NPC_DIALOGUE
량,U+B7C9,38,ITEM;NPC_DIALOGUE;NPC_SPEAKER_NAME;SCENARIO;SYSTEM
러,U+B7EC,1220,BATTLE_CHATTER;BATTLE_HELP;ENEMY;ENEMY_ACTION;EQUIPMENT;FIELD_TABLE;ITEM;MAGIC;NPC_DIALOGUE;SCENARIO;SKILL;SYSTEM
럭,U+B7ED,7,ENEMY;ITEM;NPC_DIALOGUE
런,U+B7F0,1183,BATTLE_CHATTER;BATTLE_HELP;EQUIPMENT;FIELD_TABLE;NPC_DIALOGUE;SCENARIO;SYSTEM
럴,U+B7F4,155,BATTLE_CHATTER;BATTLE_HELP;ENEMY;ENEMY_ACTION;ITEM;NPC_DIALOGUE;SCENARIO
럼,U+B7FC,609,BATTLE_HELP;EQUIPMENT;ITEM;NPC_DIALOGUE;SCENARIO;SYSTEM
럽,U+B7FD,88,ITEM;NPC_DIALOGUE;SCENARIO
럿,U+B7FF,2,NPC_DIALOGUE;SCENARIO
렀,U+B800,26,NPC_DIALOGUE;SCENARIO
렁,U+B801,13,NPC_DIALOGUE;SCENARIO;SKILL
렇,U+B807,1328,BATTLE_CHATTER;BATTLE_HELP;NPC_DIALOGUE;SCENARIO
레,U+B808,382,BATTLE;BATTLE_HELP;ENEMY;ENEMY_ACTION;EQUIPMENT;ITEM;MAGIC;NPC_DIALOGUE;NPC_SPEAKER_NAME;SCENARIO;STATUS;SYSTEM
렉,U+B809,1,ENEMY
렌,U+B80C,8,ITEM;NPC_DIALOGUE;SCENARIO
렐,U+B810,3,NPC_DIALOGUE
렘,U+B818,17,FIELD_TABLE;ITEM;NPC_DIALOGUE;SCENARIO
렛,U+B81B,11,ITEM;NPC_DIALOGUE
려,U+B824,1198,BATTLE_CHATTER;BATTLE_HELP;ENEMY_ACTION;EQUIPMENT;FIELD_TABLE;ITEM;MAGIC;NPC_DIALOGUE;SCENARIO;SKILL;SKILL_EFFECT;STATUS;SYSTEM
력,U+B825,350,BATTLE;BATTLE_CHATTER;BATTLE_HELP;EQUIPMENT;ITEM;MAGIC;NPC_DIALOGUE;SCENARIO;SKILL;SKILL_EFFECT;STATUS;SYSTEM
련,U+B828,47,BATTLE_HELP;EQUIPMENT;ITEM;MAGIC;NPC_DIALOGUE;NPC_SPEAKER_NAME;SCENARIO;SKILL;SYSTEM
렬,U+B82C,14,ITEM;MAGIC;NPC_DIALOGUE;SCENARIO
렴,U+B834,57,NPC_DIALOGUE;SCENARIO
렵,U+B835,37,BATTLE_CHATTER;NPC_DIALOGUE;SCENARIO
렷,U+B837,1,NPC_DIALOGUE
렸,U+B838,354,BATTLE_CHATTER;NPC_DIALOGUE;SCENARIO
령,U+B839,73,ENEMY;EQUIPMENT;ITEM;NPC_DIALOGUE;SCENARIO;SKILL;STATUS;SYSTEM
례,U+B840,33,BATTLE_HELP;EQUIPMENT;NPC_DIALOGUE;SCENARIO;SYSTEM
로,U+B85C,3062,BATTLE_CHATTER;BATTLE_HELP;ENEMY;ENEMY_ACTION;EQUIPMENT;FIELD_TABLE;ITEM;MAGIC;NPC_DIALOGUE;NPC_SPEAKER_NAME;SCENARIO;SKILL;SKILL_EFFECT;STATUS;SYSTEM
록,U+B85D,113,BATTLE_CHATTER;EQUIPMENT;FIELD_TABLE;ITEM;NPC_DIALOGUE;SCENARIO;STATUS;SYSTEM
론,U+B860,295,CHARACTER;ENEMY_ACTION;FIELD_TABLE;ITEM;NPC_DIALOGUE;NPC_SPEAKER_NAME;SCENARIO
롤,U+B864,1,ENEMY_ACTION
롭,U+B86D,55,ITEM;NPC_DIALOGUE;NPC_SPEAKER_NAME;SCENARIO
롯,U+B86F,157,FIELD_TABLE;NPC_DIALOGUE;NPC_SPEAKER_NAME;SCENARIO;SYSTEM
롱,U+B871,12,NPC_DIALOGUE;SCENARIO
뢰,U+B8B0,20,BATTLE_UI;ITEM;NPC_DIALOGUE;SCENARIO
료,U+B8CC,105,BATTLE_CHATTER;BATTLE_HELP;ENEMY_ACTION;ITEM;NPC_DIALOGUE;SCENARIO;SKILL;SYSTEM
룡,U+B8E1,195,ENEMY_ACTION;FIELD;FIELD_RUNTIME;FIELD_TABLE;ITEM;NPC_DIALOGUE;SCENARIO;SKILL;SYSTEM
루,U+B8E8,244,ENEMY;ENEMY_ACTION;EQUIPMENT;FIELD_TABLE;ITEM;MAGIC;NPC_DIALOGUE;NPC_SPEAKER_NAME;SCENARIO;SYSTEM
룩,U+B8E9,10,NPC_DIALOGUE;SCENARIO
룬,U+B8EC,2,ITEM
룰,U+B8F0,7,ITEM;NPC_DIALOGUE;SCENARIO
룻,U+B8FB,25,NPC_DIALOGUE;SCENARIO
뤄,U+B904,9,NPC_DIALOGUE
뤘,U+B918,2,NPC_DIALOGUE;SCENARIO
뤼,U+B93C,1,NPC_DIALOGUE
류,U+B958,32,ENEMY_ACTION;EQUIPMENT;ITEM;NPC_DIALOGUE;SCENARIO;SYSTEM
륙,U+B959,44,ENEMY_ACTION;NPC_DIALOGUE;SCENARIO;SYSTEM
률,U+B960,4,ITEM;NPC_DIALOGUE
륭,U+B96D,54,NPC_DIALOGUE;SCENARIO
르,U+B974,955,BATTLE_HELP;ENEMY;ENEMY_ACTION;FIELD;FIELD_RUNTIME;FIELD_TABLE;ITEM;MAGIC;NPC_DIALOGUE;NPC_SPEAKER_NAME;SCENARIO;SKILL;STATUS;SYSTEM
른,U+B978,340,ENEMY;ENEMY_ACTION;ITEM;MAGIC;NPC_DIALOGUE;NPC_SPEAKER_NAME;SCENARIO;SKILL;SYSTEM
를,U+B97C,2139,BATTLE_CHATTER;BATTLE_HELP;EQUIPMENT;ITEM;MAGIC;NPC_DIALOGUE;SCENARIO;SKILL;SKILL_EFFECT;STATUS;SYSTEM
름,U+B984,256,ITEM;NPC_DIALOGUE;NPC_SPEAKER_NAME;SCENARIO
릅,U+B985,12,EQUIPMENT;NPC_DIALOGUE;SYSTEM
릇,U+B987,27,NPC_DIALOGUE;SCENARIO
릉,U+B989,1,NPC_DIALOGUE
릎,U+B98E,5,NPC_DIALOGUE
리,U+B9AC,3459,BATTLE;BATTLE_CHATTER;BATTLE_HELP;BATTLE_UI;ENEMY;ENEMY_ACTION;EQUIPMENT;FIELD;FIELD_RUNTIME;FIELD_TABLE;ITEM;MAGIC;NPC_DIALOGUE;NPC_SPEAKER_NAME;SCENARIO;SKILL;SKILL_EFFECT;SYSTEM
릭,U+B9AD,12,EQUIPMENT;NPC_DIALOGUE;SCENARIO;SYSTEM
린,U+B9B0,373,BATTLE_CHATTER;ENEMY;ENEMY_ACTION;ITEM;MAGIC;NPC_DIALOGUE;NPC_SPEAKER_NAME;SCENARIO;SKILL
릴,U+B9B4,291,BATTLE_CHATTER;ENEMY_ACTION;ITEM;NPC_DIALOGUE;SCENARIO;STATUS;SYSTEM
림,U+B9BC,244,BATTLE_CHATTER;FIELD_TABLE;ITEM;NPC_DIALOGUE;NPC_SPEAKER_NAME;SCENARIO
립,U+B9BD,47,BATTLE_CHATTER;NPC_DIALOGUE;SCENARIO
릿,U+B9BF,16,BATTLE_CHATTER;ITEM;NPC_DIALOGUE;SCENARIO
링,U+B9C1,13,BATTLE_UI;ENEMY_ACTION;ITEM;NPC_DIALOGUE
마,U+B9C8,2525,BATTLE;BATTLE_CHATTER;BATTLE_HELP;BATTLE_UI;ENEMY;ENEMY_ACTION;EQUIPMENT;FIELD;FIELD_RUNTIME;FIELD_TABLE;ITEM;MAGIC;NPC_DIALOGUE;NPC_SPEAKER_NAME;SCENARIO;SKILL;SKILL_EFFECT;STATUS;SYSTEM
막,U+B9C9,400,BATTLE_CHATTER;BATTLE_HELP;ENEMY;FIELD_TABLE;ITEM;MAGIC;NPC_DIALOGUE;SCENARIO;SKILL_EFFECT
만,U+B9CC,4409,BATTLE;BATTLE_CHATTER;BATTLE_HELP;EQUIPMENT;ITEM;MAGIC;NPC_DIALOGUE;SCENARIO;SKILL;SYSTEM
많,U+B9CE,228,ITEM;NPC_DIALOGUE;SCENARIO
말,U+B9D0,2823,BATTLE_CHATTER;BATTLE_HELP;EQUIPMENT;NPC_DIALOGUE;SCENARIO;SKILL_EFFECT;SYSTEM
맑,U+B9D1,17,ITEM;NPC_DIALOGUE;SCENARIO
맘,U+B9D8,12,ENEMY_ACTION;ITEM;MAGIC;NPC_DIALOGUE
맙,U+B9D9,74,NPC_DIALOGUE;SCENARIO
맛,U+B9DB,359,NPC_DIALOGUE;SCENARIO
망,U+B9DD,238,BATTLE_CHATTER;ENEMY_ACTION;FIELD_TABLE;NPC_DIALOGUE;SCENARIO
맞,U+B9DE,276,BATTLE_CHATTER;BATTLE_HELP;ITEM;NPC_DIALOGUE;SCENARIO;SYSTEM
맡,U+B9E1,101,BATTLE_CHATTER;ITEM;NPC_DIALOGUE;SCENARIO
맣,U+B9E3,4,NPC_DIALOGUE;SCENARIO
매,U+B9E4,222,BATTLE_HELP;ENEMY_ACTION;FIELD_TABLE;ITEM;NPC_DIALOGUE;NPC_SPEAKER_NAME;SCENARIO;SKILL;SYSTEM
맥,U+B9E5,9,ITEM;NPC_DIALOGUE
맨,U+B9E8,27,BATTLE_HELP;ENEMY;NPC_DIALOGUE
맵,U+B9F5,4,NPC_DIALOGUE;SYSTEM
맷,U+B9F7,4,ITEM;SYSTEM
맹,U+B9F9,160,ITEM;MAGIC;NPC_DIALOGUE;SCENARIO
맺,U+B9FA,5,ITEM;NPC_DIALOGUE
머,U+BA38,492,ENEMY;ENEMY_ACTION;FIELD_TABLE;ITEM;MAGIC;NPC_DIALOGUE;NPC_SPEAKER_NAME;SCENARIO
먹,U+BA39,878,BATTLE_CHATTER;BATTLE_HELP;ENEMY;ITEM;NPC_DIALOGUE;NPC_SPEAKER_NAME;SCENARIO
먼,U+BA3C,165,BATTLE_CHATTER;BATTLE_HELP;ENEMY;ITEM;NPC_DIALOGUE;SCENARIO
멀,U+BA40,80,ITEM;NPC_DIALOGUE;NPC_SPEAKER_NAME;SCENARIO
멈,U+BA48,51,BATTLE_CHATTER;BATTLE_HELP;ITEM;NPC_DIALOGUE;SCENARIO
멋,U+BA4B,140,NPC_DIALOGUE;SCENARIO
멍,U+BA4D,60,BATTLE_CHATTER;FIELD_TABLE;ITEM;NPC_DIALOGUE;SCENARIO
멎,U+BA4E,3,NPC_DIALOGUE;SCENARIO
메,U+BA54,235,BATTLE_HELP;ENEMY;ENEMY_ACTION;ITEM;MAGIC;NPC_DIALOGUE;NPC_SPEAKER_NAME;SCENARIO;SYSTEM
멘,U+BA58,204,FIELD;FIELD_RUNTIME;FIELD_TABLE;ITEM;NPC_DIALOGUE;NPC_SPEAKER_NAME;SCENARIO;SYSTEM
멜,U+BA5C,28,ENEMY;FIELD;FIELD_RUNTIME;FIELD_TABLE;NPC_DIALOGUE;SYSTEM
멧,U+BA67,3,ENEMY;ENEMY_ACTION;SKILL
멩,U+BA69,1,NPC_DIALOGUE
며,U+BA70,192,EQUIPMENT;ITEM;NPC_DIALOGUE;NPC_SPEAKER_NAME;SCENARIO;SKILL;SYSTEM
면,U+BA74,2590,BATTLE_CHATTER;BATTLE_HELP;EQUIPMENT;FIELD_TABLE;ITEM;NPC_DIALOGUE;SCENARIO;STATUS;SYSTEM
멸,U+BA78,34,BATTLE_CHATTER;BATTLE_HELP;ENEMY_ACTION;FIELD_TABLE;ITEM;MAGIC;NPC_DIALOGUE;SCENARIO
몄,U+BA84,1,SCENARIO
명,U+BA85,732,BATTLE;BATTLE_CHATTER;BATTLE_HELP;BATTLE_UI;ENEMY;ENEMY_ACTION;EQUIPMENT;ITEM;MAGIC;NPC_DIALOGUE;NPC_SPEAKER_NAME;SCENARIO;SKILL;STATUS;SYSTEM
몇,U+BA87,104,NPC_DIALOGUE;SCENARIO
모,U+BAA8,1860,BATTLE_CHATTER;ENEMY;ENEMY_ACTION;EQUIPMENT;FIELD_TABLE;ITEM;MAGIC;NPC_DIALOGUE;SCENARIO;SKILL;SKILL_EFFECT;SYSTEM
목,U+BAA9,250,BATTLE_HELP;ENEMY_ACTION;FIELD_TABLE;ITEM;NPC_DIALOGUE;NPC_SPEAKER_NAME;SCENARIO;STATUS;SYSTEM
몫,U+BAAB,19,NPC_DIALOGUE;SCENARIO
몬,U+BAAC,68,BATTLE_HELP;ENEMY;ENEMY_ACTION;ITEM;NPC_DIALOGUE;SCENARIO
몰,U+BAB0,216,BATTLE_CHATTER;ENEMY_ACTION;ITEM;NPC_DIALOGUE;SCENARIO
몸,U+BAB8,143,BATTLE_CHATTER;BATTLE_HELP;ITEM;MAGIC;NPC_DIALOGUE;SCENARIO;SKILL
몹,U+BAB9,7,NPC_DIALOGUE
못,U+BABB,559,BATTLE_CHATTER;BATTLE_HELP;EQUIPMENT;ITEM;NPC_DIALOGUE;SCENARIO;SKILL;SYSTEM
몽,U+BABD,5,ITEM;NPC_DIALOGUE
뫼,U+BAFC,2,NPC_DIALOGUE
묘,U+BB18,29,FIELD_TABLE;NPC_DIALOGUE;SCENARIO
무,U+BB34,1668,BATTLE;BATTLE_CHATTER;BATTLE_HELP;ENEMY;ENEMY_ACTION;EQUIPMENT;FIELD_TABLE;ITEM;MAGIC;NPC_DIALOGUE;NPC_SPEAKER_NAME;SCENARIO;SKILL;SKILL_EFFECT;SYSTEM
묵,U+BB35,29,NPC_DIALOGUE;SCENARIO
묶,U+BB36,7,NPC_DIALOGUE;SCENARIO
문,U+BB38,389,BATTLE_CHATTER;BATTLE_HELP;FIELD_TABLE;ITEM;NPC_DIALOGUE;SCENARIO;SYSTEM
묻,U+BB3B,39,NPC_DIALOGUE;SCENARIO
물,U+BB3C,683,BATTLE_CHATTER;ENEMY;FIELD_TABLE;ITEM;MAGIC;NPC_DIALOGUE;NPC_SPEAKER_NAME;SCENARIO;SKILL;STATUS;SYSTEM
뭇,U+BB47,2,NPC_DIALOGUE
뭉,U+BB49,2,NPC_DIALOGUE
뭐,U+BB50,1214,BATTLE_CHATTER;BATTLE_HELP;NPC_DIALOGUE;SCENARIO
뭔,U+BB54,230,BATTLE_CHATTER;NPC_DIALOGUE;NPC_SPEAKER_NAME;SCENARIO
뭘,U+BB58,127,BATTLE_CHATTER;NPC_DIALOGUE;SCENARIO
뭡,U+BB61,2,NPC_DIALOGUE
뭣,U+BB63,2,NPC_DIALOGUE
뮈,U+BB88,1,SCENARIO
뮤,U+BBA4,4,NPC_DIALOGUE
뮬,U+BBAC,5,ITEM
뮴,U+BBB4,1,MAGIC
므,U+BBC0,2,NPC_DIALOGUE;SCENARIO
미,U+BBF8,1360,BATTLE;BATTLE_CHATTER;CHARACTER;ENEMY;ENEMY_ACTION;FIELD_TABLE;ITEM;MAGIC;NPC_DIALOGUE;NPC_SPEAKER_NAME;SCENARIO
믹,U+BBF9,9,ENEMY;ENEMY_ACTION;ITEM;NPC_DIALOGUE;NPC_SPEAKER_NAME
민,U+BBFC,129,FIELD_TABLE;ITEM;NPC_DIALOGUE;SCENARIO
믿,U+BBFF,134,BATTLE_CHATTER;ITEM;NPC_DIALOGUE;SCENARIO
밀,U+BC00,55,ENEMY_ACTION;FIELD_TABLE;NPC_DIALOGUE;SCENARIO
밈,U+BC08,1,NPC_DIALOGUE
밌,U+BC0C,27,NPC_DIALOGUE
밍,U+BC0D,14,BATTLE_CHATTER;ENEMY;ENEMY_ACTION;NPC_DIALOGUE;SKILL
밑,U+BC11,14,NPC_DIALOGUE;SCENARIO
바,U+BC14,1359,BATTLE_HELP;ENEMY;ENEMY_ACTION;FIELD;FIELD_RUNTIME;FIELD_TABLE;ITEM;MAGIC;NPC_DIALOGUE;NPC_SPEAKER_NAME;SCENARIO;SKILL;SKILL_EFFECT;STATUS;SYSTEM
박,U+BC15,291,FIELD_TABLE;ITEM;NPC_DIALOGUE;NPC_SPEAKER_NAME;SCENARIO;SKILL
밖,U+BC16,186,BATTLE_CHATTER;FIELD_TABLE;NPC_DIALOGUE;SCENARIO
반,U+BC18,297,BATTLE_CHATTER;BATTLE_HELP;ENEMY_ACTION;FIELD_TABLE;ITEM;MAGIC;NPC_DIALOGUE;NPC_SPEAKER_NAME;SCENARIO;SKILL_EFFECT;SYSTEM
받,U+BC1B,274,BATTLE_CHATTER;EQUIPMENT;ITEM;MAGIC;NPC_DIALOGUE;SCENARIO;SKILL;SYSTEM
발,U+BC1C,244,BATTLE_CHATTER;BATTLE_HELP;ENEMY_ACTION;EQUIPMENT;ITEM;MAGIC;NPC_DIALOGUE;NPC_SPEAKER_NAME;SCENARIO;SKILL;SYSTEM
밝,U+BC1D,25,ITEM;NPC_DIALOGUE;SCENARIO
밟,U+BC1F,5,NPC_DIALOGUE;SCENARIO
밤,U+BC24,138,ITEM;NPC_DIALOGUE;SCENARIO
밥,U+BC25,157,BATTLE_CHATTER;NPC_DIALOGUE;SCENARIO
밧,U+BC27,2,FIELD_TABLE;NPC_DIALOGUE
방,U+BC29,539,BATTLE;BATTLE_CHATTER;BATTLE_HELP;ENEMY_ACTION;EQUIPMENT;FIELD_TABLE;ITEM;MAGIC;NPC_DIALOGUE;NPC_SPEAKER_NAME;SCENARIO;SKILL;STATUS;SYSTEM
밭,U+BC2D,24,NPC_DIALOGUE;SCENARIO
배,U+BC30,484,BATTLE_CHATTER;BATTLE_HELP;ENEMY;ENEMY_ACTION;FIELD_TABLE;ITEM;NPC_DIALOGUE;NPC_SPEAKER_NAME;SCENARIO;SKILL;SKILL_EFFECT
백,U+BC31,52,BATTLE_HELP;ITEM;NPC_DIALOGUE;SCENARIO
밴,U+BC34,8,NPC_DIALOGUE
뱀,U+BC40,39,ENEMY;NPC_DIALOGUE
뱃,U+BC43,22,NPC_DIALOGUE;NPC_SPEAKER_NAME;SCENARIO
뱅,U+BC45,11,NPC_DIALOGUE
버,U+BC84,1129,BATTLE_CHATTER;ENEMY;ENEMY_ACTION;FIELD_TABLE;ITEM;MAGIC;NPC_DIALOGUE;NPC_SPEAKER_NAME;SCENARIO;SKILL;SYSTEM
벅,U+BC85,4,BATTLE_CHATTER;NPC_DIALOGUE
번,U+BC88,425,BATTLE_CHATTER;BATTLE_HELP;ITEM;MAGIC;NPC_DIALOGUE;NPC_SPEAKER_NAME;SCENARIO;SYSTEM
벌,U+BC8C,185,ITEM;NPC_DIALOGUE;SCENARIO
범,U+BC94,84,ITEM;NPC_DIALOGUE;SCENARIO
법,U+BC95,443,BATTLE;BATTLE_CHATTER;BATTLE_HELP;ENEMY_ACTION;EQUIPMENT;FIELD_TABLE;ITEM;MAGIC;NPC_DIALOGUE;NPC_SPEAKER_NAME;SCENARIO;SKILL;SKILL_EFFECT;STATUS;SYSTEM
벗,U+BC97,12,NPC_DIALOGUE;SCENARIO
벙,U+BC99,6,NPC_DIALOGUE
베,U+BCA0,76,ENEMY;ENEMY_ACTION;FIELD;FIELD_RUNTIME;FIELD_TABLE;ITEM;MAGIC;NPC_DIALOGUE;NPC_SPEAKER_NAME;SCENARIO;SKILL;SYSTEM
벤,U+BCA4,1,NPC_DIALOGUE
벨,U+BCA8,124,BATTLE_HELP;EQUIPMENT;ITEM;NPC_DIALOGUE;STATUS;SYSTEM
