character,unicode,custom_code,original_code,glyph_slot,metric_donor_index,append_ordinal,logical_glyph_index,mapping_status,source
려,U+B824,0xa09f,0x8348,139,85,228,139,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
력,U+B825,0xa0a0,0x89c0,1987,85,229,1987,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
련,U+B828,0xa0a1,0x9099,1988,85,230,1988,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
렬,U+B82C,0xa293,0x97b2,1989,85,231,1989,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
렸,U+B838,0xa294,0x9456,1991,85,232,1991,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
령,U+B839,0xa0a2,0x89c3,1992,85,233,1992,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
례,U+B840,0xa0a3,0x8ce1,1993,85,234,1993,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
로,U+B85C,0xa0a4,0x82c5,89,85,235,89,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
록,U+B85D,0xa0a5,0x97ba,1997,85,236,1997,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
론,U+B860,0xa295,0x8dc6,1998,85,237,1998,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
롭,U+B86D,0xa296,0x8d47,1999,85,238,1999,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
롯,U+B86F,0xa0a6,0x88ed,2000,85,239,2000,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
뢰,U+B8B0,0xa297,0xe056,2002,85,240,2002,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
료,U+B8CC,0xa0a7,0x8fcb,2004,85,241,2004,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
룡,U+B8E1,0xa0a8,0x9aa0,2005,85,242,2005,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
루,U+B8E8,0xa0a9,0x8ab0,2006,85,243,2006,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
룬,U+B8EC,0xa298,0x9546,2008,85,244,2008,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
룰,U+B8F0,0xa299,0xe3f9,2009,85,245,2009,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
뤘,U+B918,0xa29a,0x8d4f,2010,85,246,2010,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
류,U+B958,0xa0aa,0x96e7,2012,85,247,2012,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
륙,U+B959,0xa0ab,0x9cd4,2013,85,248,2013,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
르,U+B974,0xa0ac,0x8366,168,85,249,168,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
른,U+B978,0xa0ad,0x96cf,2015,85,250,2015,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
를,U+B97C,0xa0ae,0x82d3,103,85,251,103,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
름,U+B984,0xa29b,0x8fc2,2018,85,252,2018,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
릅,U+B985,0xa0af,0x8cba,2019,85,253,2019,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
리,U+B9AC,0xa0b0,0x82b5,74,85,254,74,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
릭,U+B9AD,0xa0b1,0x9243,2021,85,255,2021,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
린,U+B9B0,0xa29c,0x90d1,2022,85,256,2022,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
릴,U+B9B4,0xa0b2,0x8fd1,2023,85,257,2023,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
림,U+B9BC,0xa29d,0x914b,2024,85,258,2024,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
릿,U+B9BF,0xa29e,0xe0a6,2027,85,259,2027,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
링,U+B9C1,0xa29f,0x97a6,2029,85,260,2029,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
마,U+B9C8,0xa0b3,0x82a7,60,85,261,60,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
막,U+B9C9,0xa2a0,0x89f4,2032,85,262,2032,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
만,U+B9CC,0xa0b4,0x82a0,53,85,263,53,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
많,U+B9CE,0xa2a1,0x9277,2035,85,264,2035,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
말,U+B9D0,0xa0b5,0x82c3,87,85,265,87,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
맑,U+B9D1,0xa2a2,0x957b,2037,85,266,2037,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
맘,U+B9D8,0xa2a3,0x8d7c,2038,85,267,2038,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
맛,U+B9DB,0xa2a4,0x8cd5,2041,85,268,2041,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
망,U+B9DD,0xa2a5,0x8d7c,2042,85,269,2042,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
맞,U+B9DE,0xa0b6,0x9465,2043,85,270,2043,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
맡,U+B9E1,0xa2a6,0x8fc9,2044,85,271,2044,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
매,U+B9E4,0xa0b7,0x9d43,2048,85,272,2048,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
맥,U+B9E5,0xa2a7,0x89a2,2049,85,273,2049,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
맵,U+B9F5,0xa0b8,0xe3a9,2053,85,274,2053,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
맷,U+B9F7,0xa0b9,0xe666,2059,85,275,2059,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
맹,U+B9F9,0xa2a8,0x8bf8,2061,85,276,2061,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
맺,U+B9FA,0xa2a9,0xe54b,2062,85,277,2062,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
머,U+BA38,0xa2aa,0x8adf,2064,85,278,2064,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
먹,U+BA39,0xa2ab,0x8360,163,85,279,163,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
먼,U+BA3C,0xa2ac,0x8a7d,2066,85,280,2066,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
멀,U+BA40,0xa2ad,0xe08a,2067,85,281,2067,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
멈,U+BA48,0xa2ae,0x8a9a,2068,85,282,2068,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
멍,U+BA4D,0xa2af,0x944a,2069,85,283,2069,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
메,U+BA54,0xa0ba,0x8c67,2071,85,284,2071,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
멘,U+BA58,0xa0bb,0x8cd3,2074,85,285,2074,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
멜,U+BA5C,0xa0bc,0x9db1,2076,85,286,2076,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
멧,U+BA67,0xa2b0,0x93a9,2077,85,287,2077,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
며,U+BA70,0xa0bd,0x8c67,2078,85,288,2078,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
면,U+BA74,0xa0be,0x82cc,96,85,289,96,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
멸,U+BA78,0xa2b1,0xe446,2080,85,290,2080,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
명,U+BA85,0xa0bf,0x8384,197,85,291,197,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
몇,U+BA87,0xa2b2,0x92e5,2082,85,292,2082,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
모,U+BAA8,0xa0c0,0x834f,146,85,293,146,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
목,U+BAA9,0xa0c1,0x9385,2087,85,294,2087,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
몫,U+BAAB,0xa2b3,0x97ee,2088,85,295,2088,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
몬,U+BAAC,0xa2b4,0x8dca,2089,85,296,2089,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
몰,U+BAB0,0xa2b5,0x9657,2091,85,297,2091,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
몸,U+BAB8,0xa2b6,0x91a0,2092,85,298,2092,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
못,U+BABB,0xa0c2,0x8e7d,2093,85,299,2093,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
몽,U+BABD,0xa2b7,0x8c67,2094,85,300,2094,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
묘,U+BB18,0xa2b8,0x898d,2095,85,301,2095,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
무,U+BB34,0xa0c3,0x82e3,119,85,302,119,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
문,U+BB38,0xa0c4,0x898b,2097,85,303,2097,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
물,U+BB3C,0xa0c5,0x8393,202,85,304,202,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
뭐,U+BB50,0xa2b9,0x82f1,130,85,305,130,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
뭔,U+BB54,0xa2ba,0x81a0,2112,85,306,2112,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
뭘,U+BB58,0xa2bb,0x81a2,2113,85,307,2113,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
뮬,U+BBAC,0xa2bc,0x815c,2117,85,308,2117,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
뮴,U+BBB4,0xa2bd,0x8d8b,2118,85,309,2118,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
미,U+BBF8,0xa2be,0x82e8,124,85,310,124,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
믹,U+BBF9,0xa2bf,0x8d8c,2122,85,311,2122,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
민,U+BBFC,0xa2c0,0x8bb2,2143,85,312,2143,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
믿,U+BBFF,0xa2c1,0x8bcf,2144,85,313,2144,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
밀,U+BC00,0xa2c2,0x8c86,2145,85,314,2145,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
밍,U+BC0D,0xa2c3,0x8cac,2146,85,315,2146,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
바,U+BC14,0xa0c6,0x82eb,127,85,316,127,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
박,U+BC15,0xa2c4,0x8ef9,2152,85,317,2152,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
밖,U+BC16,0xa2c5,0x8a4f,444,85,318,444,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
반,U+BC18,0xa0c7,0x8f48,2154,85,319,2154,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
받,U+BC1B,0xa0c8,0x8f8d,2155,85,320,2155,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
발,U+BC1C,0xa0c9,0x8f98,2156,85,321,2156,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
밝,U+BC1D,0xa2c6,0x8fdf,2157,85,322,2157,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
밤,U+BC24,0xa2c7,0x8ff9,2158,85,323,2158,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
밥,U+BC25,0xa2c8,0x9165,2160,85,324,2160,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
방,U+BC29,0xa0ca,0x9169,2161,85,325,2161,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
배,U+BC30,0xa2c9,0x91ad,2162,85,326,2162,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
백,U+BC31,0xa2ca,0x91f1,2163,85,327,2163,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
버,U+BC84,0xa0cb,0x8350,147,85,328,147,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
번,U+BC88,0xa0cc,0x92d0,2165,85,329,2165,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
벌,U+BC8C,0xa2cb,0x939b,2166,85,330,2166,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
범,U+BC94,0xa2cc,0x93d8,2167,85,331,2167,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
법,U+BC95,0xa0cd,0x93e2,2168,85,332,2168,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
베,U+BCA0,0xa0ce,0x9441,2169,85,333,2169,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
벨,U+BCA8,0xa0cf,0x944c,2170,85,334,2170,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
벼,U+BCBC,0xa2cd,0x9463,2171,85,335,2171,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
변,U+BCC0,0xa0d0,0x94e1,2172,85,336,2172,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
별,U+BCC4,0xa2ce,0x955b,2174,85,337,2174,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
병,U+BCD1,0xa0d1,0x969f,2178,85,338,2178,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
보,U+BCF4,0xa0d2,0x82d5,105,85,339,105,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
복,U+BCF5,0xa0d3,0x836e,176,85,340,176,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
본,U+BCF8,0xa2cf,0x936e,261,85,341,261,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
볼,U+BCFC,0xa2d0,0x94ca,372,85,342,372,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
봄,U+BD04,0xa2d1,0x957a,481,85,343,481,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
봉,U+BD09,0xa0d4,0x88c0,510,85,344,510,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
봐,U+BD10,0xa2d2,0x89ee,592,85,345,592,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
봤,U+BD24,0xa2d3,0x8dbd,660,85,346,660,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
부,U+BD80,0xa0d5,0x8341,132,85,347,132,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
북,U+BD81,0xa0d6,0x978a,690,85,348,690,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
분,U+BD84,0xa0d7,0x836d,175,85,349,175,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
불,U+BD88,0xa0d8,0x906b,741,85,350,741,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
붓,U+BD93,0xa2d4,0x9645,752,85,351,752,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
붙,U+BD99,0xa2d5,0x88cb,862,85,352,862,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
브,U+BE0C,0xa2d6,0x8a4b,911,85,353,911,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
븐,U+BE10,0xa2d7,0x8a79,918,85,354,918,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
블,U+BE14,0xa2d8,0x8aa6,921,85,355,921,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
비,U+BE44,0xa0d9,0x82e4,120,85,356,120,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
빈,U+BE48,0xa0da,0x8cb9,1021,85,357,1021,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
빌,U+BE4C,0xa2d9,0x8cc8,1024,85,358,1024,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
빙,U+BE59,0xa2da,0x8d86,1048,85,359,1048,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
빛,U+BE5B,0xa0db,0x8d98,1051,85,360,1051,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
빠,U+BE60,0xa0dc,0x905c,1176,85,361,1176,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
빡,U+BE61,0xa2db,0x908b,1182,85,362,1182,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
빼,U+BE7C,0xa0dd,0x90cf,1199,85,363,1199,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
뻔,U+BED4,0xa2dc,0x90d3,1200,85,364,1200,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
뼈,U+BF08,0xa2dd,0x9261,1250,85,365,1250,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
뼛,U+BF1B,0xa2de,0x92ed,1283,85,366,1283,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
뿌,U+BFCC,0xa2df,0x938c,1303,85,367,1303,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
뿐,U+BFD0,0xa2e0,0x93ad,1313,85,368,1313,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
뿜,U+BFDC,0xa2e1,0xe587,1342,85,369,1342,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
쁘,U+C058,0xa2e2,0x95b2,1382,85,370,1382,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
사,U+C0AC,0xa0de,0x82ca,94,85,371,94,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
산,U+C0B0,0xa2e3,0x9676,1410,85,372,1410,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
살,U+C0B4,0xa0df,0x8387,200,85,373,200,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
삼,U+C0BC,0xa2e4,0x9792,1457,85,374,1457,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
상,U+C0C1,0xa0e0,0x835a,157,85,375,157,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
새,U+C0C8,0xa0e1,0x89b4,1488,85,376,1488,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
색,U+C0C9,0xa2e5,0x95f2,1516,85,377,1516,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
샘,U+C0D8,0xa2e6,0x8a6e,1526,85,378,1526,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
생,U+C0DD,0xa0e2,0x8353,150,85,379,150,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
샤,U+C0E4,0xa2e7,0x986c,1535,85,380,1535,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
샨,U+C0E8,0xa2e8,0x96bb,1540,85,381,1540,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
샷,U+C0F7,0xa2e9,0x899b,1566,85,382,1566,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
서,U+C11C,0xa0e3,0x82b7,76,85,383,76,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
석,U+C11D,0xa0e4,0x8381,194,85,384,194,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
선,U+C120,0xa0e5,0x9549,1599,85,385,1599,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
설,U+C124,0xa0e6,0x99f4,1620,85,386,1620,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
섬,U+C12C,0xa0e7,0x8cad,1626,85,387,1626,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
섯,U+C12F,0xa2ea,0x9742,1627,85,388,1627,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
성,U+C131,0xa0e8,0x8374,182,85,389,182,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
세,U+C138,0xa0e9,0x8364,166,85,390,166,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
셀,U+C140,0xa2eb,0x9670,1641,85,391,1641,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
셋,U+C14B,0xa2ec,0x8377,185,85,392,185,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
셸,U+C178,0xa2ed,0x8eb6,1675,85,393,1675,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
소,U+C18C,0xa0ea,0x8351,148,85,394,148,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
속,U+C18D,0xa0eb,0x8a75,1705,85,395,1705,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
손,U+C190,0xa0ec,0x8ee8,269,85,396,269,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
솔,U+C194,0xa2ee,0x90cd,1717,85,397,1717,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
솜,U+C19C,0xa2ef,0x8b79,1718,85,398,1718,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
솟,U+C19F,0xa2f0,0x8d46,1730,85,399,1730,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
쇄,U+C1C4,0xa2f1,0x91e9,1748,85,400,1748,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
쇠,U+C1E0,0xa2f2,0x92cd,1751,85,401,1751,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
쇼,U+C1FC,0xa2f3,0x949b,1760,85,402,1760,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
숍,U+C20D,0xa2f4,0x8e7c,1775,85,403,1775,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
수,U+C218,0xa0ed,0x82d7,107,85,404,107,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
숙,U+C219,0xa0ee,0x95a2,1784,85,405,1784,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
순,U+C21C,0xa2f5,0x9681,1785,85,406,1785,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
술,U+C220,0xa0ef,0xe0f8,1786,85,407,1786,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
숨,U+C228,0xa2f6,0x95bf,1797,85,408,1797,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
숲,U+C232,0xa0f0,0x94e2,1798,85,409,1798,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
쉬,U+C26C,0xa2f7,0x9870,1809,85,410,1809,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
쉽,U+C27D,0xa2f8,0x9795,1811,85,411,1811,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
슈,U+C288,0xa2f9,0x9fd3,1817,85,412,1817,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
슛,U+C29B,0xa2fa,0x976a,1828,85,413,1828,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
스,U+C2A4,0xa0f1,0x8359,156,85,414,156,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
슨,U+C2A8,0xa2fb,0x985c,1841,85,415,1841,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
슬,U+C2AC,0xa0f2,0x94ec,1848,85,416,1848,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
슴,U+C2B4,0xa2fc,0x955e,1860,85,417,1860,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
습,U+C2B5,0xa0f3,0x949c,1881,85,418,1881,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
승,U+C2B9,0xa340,0x8af7,1886,85,419,1886,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
시,U+C2DC,0xa0f4,0x82d4,104,85,420,104,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
식,U+C2DD,0xa341,0x8389,203,85,421,203,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
신,U+C2E0,0xa0f5,0x834d,144,85,422,144,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
실,U+C2E4,0xa0f6,0x89ad,1923,85,423,1923,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
싫,U+C2EB,0xa342,0x8951,1927,85,424,1927,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
심,U+C2EC,0xa343,0x906f,1932,85,425,1932,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
십,U+C2ED,0xa344,0x8755,1934,85,426,1934,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
싱,U+C2F1,0xa345,0xe1d2,1936,85,427,1936,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
싶,U+C2F6,0xa346,0x838a,204,85,428,204,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
싸,U+C2F8,0xa347,0x918f,1944,85,429,1944,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
싼,U+C2FC,0xa348,0x8d5d,1953,85,430,1953,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
쌍,U+C30D,0xa349,0x96c8,1979,85,431,1979,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
쓰,U+C4F0,0xa0f7,0x9694,1990,85,432,1990,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
쓴,U+C4F4,0xa34a,0x88ae,2001,85,433,2001,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
쓸,U+C4F8,0xa0f8,0x906d,2011,85,434,2011,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
씨,U+C528,0xa34b,0x8369,171,85,435,171,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
씻,U+C53B,0xa34c,0x8eea,2026,85,436,2026,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
아,U+C544,0xa0f9,0x82bb,80,85,437,80,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
악,U+C545,0xa34d,0x94c4,2046,85,438,2046,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
안,U+C548,0xa0fa,0x82e7,123,85,439,123,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
앉,U+C549,0xa34e,0x90b1,2054,85,440,2054,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
않,U+C54A,0xa0fb,0x834b,142,85,441,142,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
알,U+C54C,0xa34f,0x82e6,122,85,442,122,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
암,U+C554,0xa350,0x8c81,2075,85,443,2075,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
압,U+C555,0xa351,0x8a8c,2084,85,444,2084,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
앗,U+C557,0xa352,0x90f7,2114,85,445,2114,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
았,U+C558,0xa0fc,0x838d,207,85,446,207,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
앙,U+C559,0xa353,0x956d,2124,85,447,2124,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
앞,U+C55E,0xa354,0x9743,2126,85,448,2126,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
애,U+C560,0xa140,0x8c71,2127,85,449,2127,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
액,U+C561,0xa141,0xe7f3,2128,85,450,2128,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
앨,U+C568,0xa355,0x83b3,2133,85,451,2133,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
앰,U+C570,0xa356,0x83a9,2135,85,452,2135,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
