glyph_id,raw_bytes,occurrences,font_page,slot,recognized_char,grade,evidence,best_candidate_if_review,best_candidate_conf,ocr_alternatives,image_path,status_original
G035E,3E F3,1,F3,0x033E,津,HIGH,"4 OCR votes, max 79.2",,,"津(79,nearest_jpn_13)",glyph_G035E.png,UNRESOLVED_UNICODE
G0360,40 F3,39,F3,0x0340,歌,MEDIUM,jpn psm13 84.5,,,"歌(85,nearest_jpn_13)",glyph_G0360.png,UNRESOLVED_UNICODE
G0366,46 F3,12,F3,0x0346,制,HIGH,jpn psm13 91.1,,,"制(91,nearest_jpn_13); 市(43,threshold_jpn_10)",glyph_G0366.png,UNRESOLVED_UNICODE
G0368,48 F3,85,F3,0x0348,他,HIGH,jpn psm13 91.9,,,"他(93,nearest_jpn_10)",glyph_G0368.png,UNRESOLVED_UNICODE
G036B,4B F3,11,F3,0x034B,室,HIGH,"2 OCR votes, max 91.4",,,"室(91,nearest_jpn_10); 堂(83,nearest_jpn_13); 三(11,threshold_jpn_10)",glyph_G036B.png,UNRESOLVED_UNICODE
G036C,4C F3,30,F3,0x034C,吉,MEDIUM,"2 OCR votes, avg 33.8",,,"ー(79,threshold_jpn_10); 吉(37,nearest_jpn_10); 喜(6,nearest_jpn_13)",glyph_G036C.png,UNRESOLVED_UNICODE
G036D,4D F3,2,F3,0x034D,卑,HIGH,jpn psm13 93.0,,,"卑(93,nearest_jpn_13); ョ(77,nearest_jpn_10)",glyph_G036D.png,UNRESOLVED_UNICODE
G0373,53 F3,41,F3,0x0353,格,HIGH,jpn psm13 90.5,,,"格(90,nearest_jpn_13)",glyph_G0373.png,UNRESOLVED_UNICODE
G0375,55 F3,25,F3,0x0355,約,HIGH,jpn psm13 92.8,,,"約(93,nearest_jpn_13)",glyph_G0375.png,UNRESOLVED_UNICODE
G0376,56 F3,28,F3,0x0356,上,MEDIUM,"3 OCR votes, avg 17.9",,,"上(41,threshold_jpn_10); 園(0,nearest_jpn_13)",glyph_G0376.png,UNRESOLVED_UNICODE
G0378,58 F3,6,F3,0x0358,握,MEDIUM,"3 OCR votes, avg 16.0",,,"握(48,nearest_jpn_13); 所(0,smooth_jpn_10)",glyph_G0378.png,UNRESOLVED_UNICODE
G037C,5C F3,14,F3,0x035C,案,MEDIUM,jpn psm13 82.8,,,"案(83,nearest_jpn_13); 放(0,nearest_jpn_10); 二(0,smooth_jpn_10); 去(0,threshold_jpn_10)",glyph_G037C.png,UNRESOLVED_UNICODE
G037E,5E F3,10,F3,0x035E,依,HIGH,jpn psm13 91.2,,,"依(91,nearest_jpn_13); 『(62,threshold_jpn_10)",glyph_G037E.png,UNRESOLVED_UNICODE
G037F,5F F3,4,F3,0x035F,偉,MEDIUM,"2 OCR votes, avg 24.0",,,"健(53,threshold_jpn_10); 偉(48,nearest_jpn_13); 三(42,nearest_jpn_10)",glyph_G037F.png,UNRESOLVED_UNICODE
G0383,63 F3,7,F3,0x0363,医,HIGH,jpn psm13 92.6,,,"医(93,nearest_jpn_13)",glyph_G0383.png,UNRESOLVED_UNICODE
G0384,64 F3,60,F3,0x0364,育,HIGH,jpn psm13 93.0,,,"育(93,nearest_jpn_13)",glyph_G0384.png,UNRESOLVED_UNICODE
G0386,66 F3,17,F3,0x0366,因,HIGH,"2 OCR votes, max 81.3",,,"因(81,nearest_jpn_13); 回(47,smooth_jpn_10)",glyph_G0386.png,UNRESOLVED_UNICODE
G0389,69 F3,3,F3,0x0369,陰,VISUAL_HIGH,glyph image manually checked,,,"た(60,threshold_jpn_10); 陰(23,nearest_jpn_13); 障(13,nearest_jpn_10)",glyph_G0389.png,UNRESOLVED_UNICODE
G038B,6B F3,18,F3,0x036B,営,MEDIUM,jpn psm13 82.0,,,"営(82,nearest_jpn_13); 三(38,threshold_jpn_10)",glyph_G038B.png,UNRESOLVED_UNICODE
G0390,70 F3,5,F3,0x0370,衛,HIGH,jpn psm13 92.9,,,"衛(93,nearest_jpn_13); 伸(0,smooth_jpn_10)",glyph_G0390.png,UNRESOLVED_UNICODE
G0392,72 F3,2,F3,0x0372,益,VISUAL_HIGH,glyph image manually checked,,,"益(64,nearest_jpn_13); こ(12,threshold_jpn_10)",glyph_G0392.png,UNRESOLVED_UNICODE
G0394,74 F3,51,F3,0x0374,越,VISUAL_HIGH,glyph image manually checked,,,"出(27,smooth_jpn_10); 軸(24,nearest_jpn_10); 越(15,nearest_jpn_13)",glyph_G0394.png,UNRESOLVED_UNICODE
G0397,77 F3,11,F3,0x0377,演,HIGH,jpn psm13 91.3,,,"演(91,nearest_jpn_13); 湖(0,nearest_jpn_10); 混(0,smooth_jpn_10); 員(0,threshold_jpn_10)",glyph_G0397.png,UNRESOLVED_UNICODE
G039D,7D F3,3,F3,0x037D,沖,HIGH,jpn psm13 90.3,,,"沖(90,nearest_jpn_13); 油(0,nearest_jpn_10)",glyph_G039D.png,UNRESOLVED_UNICODE
G039E,7E F3,13,F3,0x037E,憶,HIGH,"3 OCR votes, max 87.3",,,"憶(87,smooth_jpn_10); 情(40,threshold_jpn_10)",glyph_G039E.png,UNRESOLVED_UNICODE
G039F,7F F3,16,F3,0x037F,恩,HIGH,jpn psm13 89.0,,,"恩(89,nearest_jpn_13); き(7,nearest_jpn_10); さ(0,smooth_jpn_10)",glyph_G039F.png,UNRESOLVED_UNICODE
G03A2,82 F3,2,F3,0x0382,夏,HIGH,jpn psm13 92.1,,,"夏(92,nearest_jpn_13); 息(32,smooth_jpn_10)",glyph_G03A2.png,UNRESOLVED_UNICODE
G03A3,83 F3,2,F3,0x0383,姫,VISUAL_HIGH,glyph image manually checked,,,"中(37,smooth_jpn_10); 娠(30,nearest_jpn_13)",glyph_G03A3.png,UNRESOLVED_UNICODE
G03A4,84 F3,1,F3,0x0384,科,HIGH,jpn psm13 93.0,,,"科(93,nearest_jpn_13)",glyph_G03A4.png,UNRESOLVED_UNICODE
G03A5,85 F3,3,F3,0x0385,河,HIGH,jpn psm13 92.7,,,"河(93,nearest_jpn_13); 中(78,threshold_jpn_10); 洒(14,nearest_jpn_10)",glyph_G03A5.png,UNRESOLVED_UNICODE
G03A6,86 F3,14,F3,0x0386,何,HIGH,"3 OCR votes, max 92.6",,,"何(93,nearest_jpn_10); 荷(84,nearest_jpn_13)",glyph_G03A6.png,UNRESOLVED_UNICODE
G03A7,87 F3,3,F3,0x0387,貨,VISUAL_HIGH,glyph image manually checked,,,"貨(49,nearest_jpn_13)",glyph_G03A7.png,UNRESOLVED_UNICODE
G03A8,88 F3,67,F3,0x0388,周,MEDIUM,"2 OCR votes, avg 13.1",,,"過(56,nearest_jpn_13); 周(24,smooth_jpn_10); 師(0,threshold_jpn_10)",glyph_G03A8.png,UNRESOLVED_UNICODE
G03AB,8B F3,14,F3,0x038B,悔,HIGH,jpn psm13 91.3,,,"悔(91,nearest_jpn_13); 皿(0,threshold_jpn_10)",glyph_G03AB.png,UNRESOLVED_UNICODE
G03AF,8F F3,18,F3,0x038F,階,HIGH,jpn psm13 91.9,,,"階(92,nearest_jpn_13)",glyph_G03AF.png,UNRESOLVED_UNICODE
G03B0,90 F3,18,F3,0x0390,害,MEDIUM,jpn psm13 78.6,,,"害(79,nearest_jpn_13); 書(52,smooth_jpn_10); 寺(0,threshold_jpn_10)",glyph_G03B0.png,UNRESOLVED_UNICODE
G03B1,91 F3,12,F3,0x0391,崖,VISUAL_HIGH,glyph image manually checked,,,"に(91,threshold_jpn_10); 崖(20,nearest_jpn_13)",glyph_G03B1.png,UNRESOLVED_UNICODE
G03B4,94 F3,71,F3,0x0394,確,HIGH,jpn psm13 92.1,,,"確(92,nearest_jpn_13)",glyph_G03B4.png,UNRESOLVED_UNICODE
G03B6,96 F3,184,F3,0x0396,業,HIGH,jpn psm13 88.1,,,"業(88,nearest_jpn_13); 中(17,threshold_jpn_10)",glyph_G03B6.png,UNRESOLVED_UNICODE
G03B7,97 F3,11,F3,0x0397,上,MEDIUM,"3 OCR votes, avg 18.7",,,"額(55,nearest_jpn_13); 上(41,nearest_jpn_10)",glyph_G03B7.png,UNRESOLVED_UNICODE
G03B8,98 F3,10,F3,0x0398,乾,MEDIUM,jpn psm13 81.6,,,"乾(82,nearest_jpn_13); 四(0,nearest_jpn_10); 下(0,threshold_jpn_10)",glyph_G03B8.png,UNRESOLVED_UNICODE
G03BA,9A F3,3,F3,0x039A,勘,MEDIUM,jpn psm13 79.8,,,"勘(80,nearest_jpn_13); 中(34,threshold_jpn_10); 品(0,nearest_jpn_10)",glyph_G03BA.png,UNRESOLVED_UNICODE
G03BB,9B F3,3,F3,0x039B,患,HIGH,"3 OCR votes, max 71.2",,,"患(71,smooth_jpn_10); 中(44,threshold_jpn_10)",glyph_G03BB.png,UNRESOLVED_UNICODE
G03C0,A0 F3,9,F3,0x03A0,汗,HIGH,"4 OCR votes, max 73.2",,,"汗(73,smooth_jpn_10)",glyph_G03C0.png,UNRESOLVED_UNICODE
G03C2,A2 F3,38,F3,0x03A2,看,HIGH,jpn psm13 92.3,,,"看(92,nearest_jpn_13); 析(0,threshold_jpn_10)",glyph_G03C2.png,UNRESOLVED_UNICODE
G03C3,A3 F3,2,F3,0x03A3,一,HIGH,"3 OCR votes, max 76.4",,,"一(76,smooth_jpn_10); 警(59,nearest_jpn_13)",glyph_G03C3.png,UNRESOLVED_UNICODE
G03C4,A4 F3,18,F3,0x03A4,簡,HIGH,jpn psm13 91.7,,,"簡(92,nearest_jpn_13); 間(58,threshold_jpn_10)",glyph_G03C4.png,UNRESOLVED_UNICODE
G03C5,A5 F3,8,F3,0x03A5,肝,HIGH,jpn psm13 92.2,,,"肝(92,nearest_jpn_13)",glyph_G03C5.png,UNRESOLVED_UNICODE
G03C7,A7 F3,46,F3,0x03A7,棚,MEDIUM,"2 OCR votes, avg 0.0",,,"較(0,nearest_jpn_13); 棚(0,nearest_jpn_10); 還(0,threshold_jpn_10)",glyph_G03C7.png,UNRESOLVED_UNICODE
G03CB,AB F3,155,F3,0x03AB,顔,MEDIUM,jpn psm13 79.1,,,"顔(79,nearest_jpn_13); 四(0,nearest_jpn_10); 明(0,threshold_jpn_10)",glyph_G03CB.png,UNRESOLVED_UNICODE
G03CD,AD F3,38,F3,0x03AD,希,HIGH,jpn psm13 90.8,,,"希(91,nearest_jpn_13)",glyph_G03CD.png,UNRESOLVED_UNICODE
G03D0,B0 F3,265,F3,0x03B0,帰,HIGH,jpn psm13 92.7,,,"帰(93,nearest_jpn_10)",glyph_G03D0.png,UNRESOLVED_UNICODE
G03D3,B3 F3,12,F3,0x03B3,季,HIGH,jpn psm13 92.8,,,"季(93,nearest_jpn_13); 李(85,smooth_jpn_10); 中(84,threshold_jpn_10)",glyph_G03D3.png,UNRESOLVED_UNICODE
G03D4,B4 F3,1,F3,0x03B4,紀,MEDIUM,jpn psm13 66.8,,,"紀(67,nearest_jpn_13); し(56,nearest_jpn_10)",glyph_G03D4.png,UNRESOLVED_UNICODE
G03D8,B8 F3,26,F3,0x03B8,負,VISUAL_HIGH,glyph image manually checked,,,"負(63,nearest_jpn_13); 名(20,nearest_Japanese_10); 骨(0,nearest_jpn_10); ョ(0,smooth_jpn_10)",glyph_G03D8.png,UNRESOLVED_UNICODE
G03D9,B9 F3,9,F3,0x03B9,犠,HIGH,jpn psm13 88.0,,,"犠(88,nearest_jpn_13); 涯(0,smooth_jpn_10); 半(0,nearest_Japanese_10)",glyph_G03D9.png,UNRESOLVED_UNICODE
G03DF,BF F3,85,F3,0x03BF,休,HIGH,jpn psm13 89.3,,,"休(89,nearest_jpn_13); 価(46,nearest_Japanese_10)",glyph_G03DF.png,UNRESOLVED_UNICODE
G03E0,C0 F3,52,F3,0x03C0,求,HIGH,jpn psm13 90.4,,,"求(90,nearest_jpn_13)",glyph_G03E0.png,UNRESOLVED_UNICODE
G03E1,C1 F3,56,F3,0x03C1,泣,MEDIUM,jpn psm13 81.2,,,"泣(81,nearest_jpn_13); 演(65,nearest_Japanese_10); は(42,threshold_jpn_10); 潤(0,nearest_jpn_10)",glyph_G03E1.png,UNRESOLVED_UNICODE
G03E5,C5 F3,50,F3,0x03C5,去,HIGH,jpn psm13 93.0,,,"去(93,nearest_jpn_13)",glyph_G03E5.png,UNRESOLVED_UNICODE
G03E8,C8 F3,6,F3,0x03C8,損,VISUAL_HIGH,glyph image manually checked,,,"中(33,smooth_jpn_10); し(5,threshold_jpn_10); 換(2,nearest_jpn_10); 損(0,nearest_jpn_13)",glyph_G03E8.png,UNRESOLVED_UNICODE
G03EC,CC F3,14,F3,0x03CC,協,HIGH,jpn psm13 92.5,,,"協(92,nearest_jpn_13)",glyph_G03EC.png,UNRESOLVED_UNICODE
G03ED,CD F3,10,F3,0x03CD,叫,HIGH,"5 OCR votes, max 82.7",,,"叫(83,threshold_jpn_10)",glyph_G03ED.png,UNRESOLVED_UNICODE
G03EE,CE F3,26,F3,0x03CE,境,HIGH,jpn psm13 92.5,,,"境(93,smooth_jpn_10)",glyph_G03EE.png,UNRESOLVED_UNICODE
G03F1,D1 F3,6,F3,0x03D1,況,HIGH,jpn psm13 85.4,,,"況(85,nearest_jpn_13)",glyph_G03F1.png,UNRESOLVED_UNICODE
G03F2,D2 F3,27,F3,0x03D2,興,HIGH,jpn psm13 91.5,,,"興(91,nearest_jpn_13); 提(9,smooth_jpn_10); 届(0,threshold_jpn_10); 引(0,nearest_Japanese_10)",glyph_G03F2.png,UNRESOLVED_UNICODE
G03F3,D3 F3,39,F3,0x03D3,,REVIEW,,鐘,0.0,"鐘(0,nearest_jpn_13); 旭(0,nearest_jpn_10); 細(0,nearest_Japanese_10)",glyph_G03F3.png,UNRESOLVED_UNICODE
G03F5,D5 F3,31,F3,0x03D5,驚,VISUAL_HIGH,glyph image manually checked,,,"に(83,threshold_jpn_10); 驚(22,nearest_jpn_13)",glyph_G03F5.png,UNRESOLVED_UNICODE
G03F7,D7 F3,12,F3,0x03D7,禁,HIGH,jpn psm13 90.1,,,"禁(90,nearest_jpn_13); で(10,nearest_Japanese_10)",glyph_G03F7.png,UNRESOLVED_UNICODE
G03F9,D9 F3,8,F3,0x03D9,に,MEDIUM,"2 OCR votes, avg 43.6",,,"緊(56,nearest_jpn_13); に(44,smooth_jpn_10); の(10,threshold_jpn_10)",glyph_G03F9.png,UNRESOLVED_UNICODE
G03FB,DB F3,6,F3,0x03DB,区,HIGH,jpn psm13 96.9,,,"区(97,nearest_jpn_13)",glyph_G03FB.png,UNRESOLVED_UNICODE
G0406,E6 F3,197,F3,0x03E6,兄,HIGH,jpn psm13 89.3,,,"ー(91,smooth_jpn_10); 兄(89,nearest_jpn_13)",glyph_G0406.png,UNRESOLVED_UNICODE
G040C,EC F3,26,F3,0x03EC,計,HIGH,jpn psm13 92.9,,,"計(93,nearest_jpn_13); ミ(9,nearest_Japanese_10)",glyph_G040C.png,UNRESOLVED_UNICODE
G040D,ED F3,14,F3,0x03ED,辻,MEDIUM,"2 OCR votes, avg 45.2",,,"迎(54,nearest_jpn_13); 辻(49,smooth_jpn_10); 中(34,threshold_jpn_10)",glyph_G040D.png,UNRESOLVED_UNICODE
G040F,EF F3,11,F3,0x03EF,欠,MEDIUM,"2 OCR votes, avg 28.4",,,"欠(57,nearest_jpn_13)",glyph_G040F.png,UNRESOLVED_UNICODE
G0410,20 F4,187,F4,0x03F0,決,HIGH,jpn psm13 93.2,,,"決(93,nearest_jpn_13)",glyph_G0410.png,UNRESOLVED_UNICODE
G0412,22 F4,103,F4,0x03F2,件,HIGH,jpn psm13 96.9,,,"件(97,smooth_jpn_10); 性(31,threshold_jpn_10)",glyph_G0412.png,UNRESOLVED_UNICODE
G0414,24 F4,47,F4,0x03F4,嫌,MEDIUM,"2 OCR votes, avg 18.5",,,"園(26,nearest_jpn_13); 嫌(23,nearest_jpn_10); 吐(0,threshold_jpn_10)",glyph_G0414.png,UNRESOLVED_UNICODE
G041E,2E F4,821,F4,0x03FE,言,HIGH,jpn psm13 85.2,,,"言(85,nearest_jpn_13); 当(51,threshold_jpn_10)",glyph_G041E.png,UNRESOLVED_UNICODE
G0423,33 F4,5,F4,0x0403,枯,HIGH,"3 OCR votes, max 77.3",,,"枯(77,smooth_jpn_10); 本(31,nearest_Japanese_10)",glyph_G0423.png,UNRESOLVED_UNICODE
G0426,36 F4,17,F4,0x0406,互,MEDIUM,jpn psm13 81.3,,,"互(81,nearest_jpn_13)",glyph_G0426.png,UNRESOLVED_UNICODE
G0427,37 F4,23,F4,0x0407,悟,HIGH,"4 OCR votes, max 77.8",,,"悟(78,nearest_Japanese_10); 恒(0,smooth_jpn_10)",glyph_G0427.png,UNRESOLVED_UNICODE
G0428,38 F4,4,F4,0x0408,誤,HIGH,jpn psm13 87.3,,,"誤(87,nearest_jpn_13); 記(0,threshold_jpn_10)",glyph_G0428.png,UNRESOLVED_UNICODE
G0429,39 F4,5,F4,0x0409,公,HIGH,jpn psm13 91.9,,,"公(92,nearest_jpn_13); か(49,nearest_jpn_10)",glyph_G0429.png,UNRESOLVED_UNICODE
G043C,4C F4,83,F4,0x041C,頃,HIGH,jpn psm13 91.5,,,"頃(91,nearest_jpn_13)",glyph_G043C.png,UNRESOLVED_UNICODE
G043D,4D F4,460,F4,0x041D,今,HIGH,jpn psm13 89.5,,,"今(93,smooth_jpn_10)",glyph_G043D.png,UNRESOLVED_UNICODE
G043E,4E F4,45,F4,0x041E,困,HIGH,"2 OCR votes, max 84.9",,,"困(85,nearest_jpn_13); ホ(48,nearest_Japanese_10); 果(35,smooth_jpn_10)",glyph_G043E.png,UNRESOLVED_UNICODE
G043F,4F F4,43,F4,0x041F,嬉,VISUAL_HIGH,glyph image manually checked,,,"較(0,nearest_jpn_13); 書(0,nearest_jpn_10); 閉(0,smooth_jpn_10); 夏(0,nearest_Japanese_10)",glyph_G043F.png,UNRESOLVED_UNICODE
G0442,52 F4,3,F4,0x0422,中,MEDIUM,"2 OCR votes, avg 47.7",,,"中(54,nearest_Japanese_10); 査(14,nearest_jpn_13); 人(13,smooth_jpn_10)",glyph_G0442.png,UNRESOLVED_UNICODE
G0444,54 F4,28,F4,0x0424,再,HIGH,jpn psm13 91.1,,,"再(91,nearest_jpn_13)",glyph_G0444.png,UNRESOLVED_UNICODE
G0446,56 F4,7,F4,0x0426,オ,MEDIUM,"3 OCR votes, avg 1.0",,,"才(32,nearest_jpn_13); オ(3,threshold_jpn_10)",glyph_G0446.png,UNRESOLVED_UNICODE
G0447,57 F4,5,F4,0x0427,済,HIGH,jpn psm13 90.1,,,"済(90,nearest_jpn_13); 清(24,nearest_jpn_10); 消(19,smooth_jpn_10); 酒(0,threshold_jpn_10)",glyph_G0447.png,UNRESOLVED_UNICODE
G0449,59 F4,15,F4,0x0429,砕,MEDIUM,jpn psm13 72.1,,,"砕(72,nearest_jpn_13)",glyph_G0449.png,UNRESOLVED_UNICODE
G044A,5A F4,29,F4,0x042A,奈,VISUAL_HIGH,glyph image manually checked,,,"く(43,nearest_jpn_10); 奈(36,nearest_jpn_13)",glyph_G044A.png,UNRESOLVED_UNICODE
G044C,5C F4,15,F4,0x042C,際,HIGH,jpn psm13 91.8,,,"際(92,nearest_jpn_13); に(43,threshold_jpn_10)",glyph_G044C.png,UNRESOLVED_UNICODE
G044E,5E F4,11,F4,0x042E,罪,HIGH,jpn psm13 85.3,,,"ヨ(86,smooth_jpn_10); 罪(85,nearest_jpn_13)",glyph_G044E.png,UNRESOLVED_UNICODE
G044F,5F F4,9,F4,0x042F,財,HIGH,jpn psm13 92.8,,,"財(93,nearest_jpn_13)",glyph_G044F.png,UNRESOLVED_UNICODE
G0451,61 F4,14,F4,0x0431,に,HIGH,"2 OCR votes, max 96.3",,,"に(96,nearest_jpn_10); 咲(80,nearest_jpn_13); 記(78,threshold_jpn_10)",glyph_G0451.png,UNRESOLVED_UNICODE
G0452,62 F4,18,F4,0x0432,昨,HIGH,jpn psm13 86.9,,,"昨(91,threshold_jpn_10)",glyph_G0452.png,UNRESOLVED_UNICODE
G0453,63 F4,2,F4,0x0433,泰,VISUAL_HIGH,glyph image manually checked,,,"索(79,nearest_jpn_10); へ(45,nearest_Japanese_10); 素(0,nearest_jpn_13)",glyph_G0453.png,UNRESOLVED_UNICODE
G0454,64 F4,10,F4,0x0434,穴,VISUAL_HIGH,glyph image manually checked,,,"穴(0,nearest_jpn_13); マ(0,nearest_jpn_10)",glyph_G0454.png,UNRESOLVED_UNICODE
G0460,70 F4,112,F4,0x0440,姉,HIGH,jpn psm13 88.0,,,"姉(88,nearest_jpn_13); 市(28,nearest_jpn_10); 員(14,nearest_Japanese_10)",glyph_G0460.png,UNRESOLVED_UNICODE
G0462,72 F4,7,F4,0x0442,市,HIGH,jpn psm13 96.3,,,"市(96,nearest_jpn_13); 店(74,smooth_jpn_10)",glyph_G0462.png,UNRESOLVED_UNICODE
G0467,77 F4,5,F4,0x0447,氏,HIGH,jpn psm13 92.6,,,"氏(93,nearest_jpn_13)",glyph_G0467.png,UNRESOLVED_UNICODE
G0468,78 F4,470,F4,0x0448,私,HIGH,jpn psm13 89.0,,,"私(95,threshold_jpn_10)",glyph_G0468.png,UNRESOLVED_UNICODE
G0469,79 F4,6,F4,0x0449,詩,HIGH,jpn psm13 92.9,,,"詩(93,nearest_jpn_13); 計(53,threshold_jpn_10)",glyph_G0469.png,UNRESOLVED_UNICODE
G046A,7A F4,18,F4,0x044A,試,HIGH,jpn psm13 89.9,,,"試(90,nearest_jpn_13)",glyph_G046A.png,UNRESOLVED_UNICODE
G046D,7D F4,14,F4,0x044D,飼,HIGH,jpn psm13 92.9,,,"飼(93,nearest_jpn_13); 断(38,nearest_jpn_10)",glyph_G046D.png,UNRESOLVED_UNICODE
G0472,82 F4,2,F4,0x0452,七,MEDIUM,jpn psm13 66.3,,,"七(66,nearest_jpn_13)",glyph_G0472.png,UNRESOLVED_UNICODE
G0473,83 F4,15,F4,0x0453,執,HIGH,jpn psm13 88.1,,,"執(88,nearest_jpn_13); 計(0,nearest_jpn_10); 笛(0,threshold_jpn_10)",glyph_G0473.png,UNRESOLVED_UNICODE
G0474,84 F4,98,F4,0x0454,失,HIGH,jpn psm13 89.7,,,"失(92,smooth_jpn_10); 夫(78,threshold_jpn_10); コ(25,nearest_Japanese_10)",glyph_G0474.png,UNRESOLVED_UNICODE
G0479,89 F4,17,F4,0x0459,煮,MEDIUM,jpn psm13 70.7,,,"煮(71,nearest_jpn_13)",glyph_G0479.png,UNRESOLVED_UNICODE
G047A,8A F4,13,F4,0x045A,社,HIGH,jpn psm13 93.0,,,"社(93,nearest_jpn_13)",glyph_G047A.png,UNRESOLVED_UNICODE
G047B,8B F4,32,F4,0x045B,謝,HIGH,jpn psm13 87.2,,,"謝(87,nearest_jpn_13); 席(19,smooth_jpn_10); 計(0,threshold_jpn_10)",glyph_G047B.png,UNRESOLVED_UNICODE
G047E,8E F4,27,F4,0x045E,借,HIGH,"2 OCR votes, max 79.8",,,"借(80,nearest_jpn_13); 昼(52,threshold_jpn_10); 慎(29,nearest_Japanese_10)",glyph_G047E.png,UNRESOLVED_UNICODE
G0480,90 F4,6,F4,0x0460,,REVIEW,,用,28.1,"用(28,threshold_jpn_10); 寂(17,nearest_jpn_13)",glyph_G0480.png,UNRESOLVED_UNICODE
G0482,92 F4,6,F4,0x0462,授,HIGH,jpn psm13 92.4,,,"授(92,nearest_jpn_13)",glyph_G0482.png,UNRESOLVED_UNICODE
G0486,96 F4,2,F4,0x0466,秀,HIGH,"2 OCR votes, max 82.3",,,"秀(82,nearest_jpn_13); 下(31,threshold_jpn_10); 売(9,nearest_Japanese_10)",glyph_G0486.png,UNRESOLVED_UNICODE
G0487,97 F4,41,F4,0x0467,習,HIGH,jpn psm13 88.7,,,"習(89,nearest_jpn_13); 澤(18,threshold_jpn_10)",glyph_G0487.png,UNRESOLVED_UNICODE
G0489,99 F4,20,F4,0x0469,衆,VISUAL_HIGH,glyph image manually checked,,,"衆(51,nearest_jpn_13); 計(0,nearest_jpn_10); 三(0,smooth_jpn_10)",glyph_G0489.png,UNRESOLVED_UNICODE
G048A,9A F4,26,F4,0x046A,国,VISUAL_HIGH,glyph image manually checked,,,"国(49,nearest_jpn_10); 園(0,nearest_jpn_13); 詞(0,nearest_Japanese_10)",glyph_G048A.png,UNRESOLVED_UNICODE
G048C,9C F4,77,F4,0x046C,住,HIGH,jpn psm13 92.3,,,"住(92,nearest_jpn_13)",glyph_G048C.png,UNRESOLVED_UNICODE
G048D,9D F4,9,F4,0x046D,従,HIGH,jpn psm13 89.7,,,"従(90,nearest_jpn_13)",glyph_G048D.png,UNRESOLVED_UNICODE
G0493,A3 F4,10,F4,0x0473,春,HIGH,jpn psm13 86.4,,,"春(86,nearest_jpn_13)",glyph_G0493.png,UNRESOLVED_UNICODE
G0495,A5 F4,4,F4,0x0475,順,HIGH,jpn psm13 92.8,,,"順(93,nearest_jpn_13); 山(0,nearest_Japanese_10)",glyph_G0495.png,UNRESOLVED_UNICODE
G0498,A8 F4,1,F4,0x0478,諸,HIGH,"4 OCR votes, max 91.3",,,"諸(91,nearest_jpn_10); 記(0,threshold_jpn_10)",glyph_G0498.png,UNRESOLVED_UNICODE
G0499,A9 F4,109,F4,0x0479,助,HIGH,jpn psm13 87.6,,,"助(88,nearest_jpn_13); 計(0,nearest_Japanese_10)",glyph_G0499.png,UNRESOLVED_UNICODE
G049B,AB F4,4,F4,0x047B,徐,MEDIUM,jpn psm13 67.4,,,"徐(67,nearest_jpn_13); 休(0,nearest_jpn_10); 涼(0,smooth_jpn_10); 祭(0,threshold_jpn_10); 符(0,nearest_Japanese_10)",glyph_G049B.png,UNRESOLVED_UNICODE
G04A0,B0 F4,5,F4,0x0480,招,HIGH,jpn psm13 89.4,,,"招(89,nearest_jpn_13); 拍(84,nearest_jpn_10); と(56,threshold_jpn_10)",glyph_G04A0.png,UNRESOLVED_UNICODE
G04A2,B2 F4,12,F4,0x0482,照,MEDIUM,"2 OCR votes, avg 27.6",,,"照(55,nearest_jpn_13); 昌(0,nearest_jpn_10); 中(0,threshold_jpn_10)",glyph_G04A2.png,UNRESOLVED_UNICODE
G04A4,B4 F4,2,F4,0x0484,省,HIGH,jpn psm13 85.6,,,"省(86,nearest_jpn_13)",glyph_G04A4.png,UNRESOLVED_UNICODE
G04A6,B6 F4,61,F4,0x0486,笑,HIGH,jpn psm13 91.8,,,"笑(92,nearest_jpn_13); 天(15,threshold_jpn_10)",glyph_G04A6.png,UNRESOLVED_UNICODE
G04AA,BA F4,4,F4,0x048A,障,HIGH,jpn psm13 93.0,,,"障(93,nearest_jpn_13)",glyph_G04AA.png,UNRESOLVED_UNICODE
G04AC,BC F4,29,F4,0x048C,嬢,HIGH,jpn psm13 88.0,,,"嬢(88,nearest_jpn_13); は(66,threshold_jpn_10); 詩(0,nearest_jpn_10)",glyph_G04AC.png,UNRESOLVED_UNICODE
G04AD,BD F4,71,F4,0x048D,情,HIGH,jpn psm13 93.2,,,"情(93,nearest_jpn_13)",glyph_G04AD.png,UNRESOLVED_UNICODE
G04AE,BE F4,6,F4,0x048E,,REVIEW,,未,65.8,"未(66,threshold_jpn_10); 徐(0,nearest_jpn_13)",glyph_G04AE.png,UNRESOLVED_UNICODE
G04B4,C4 F4,6,F4,0x0494,侵,HIGH,jpn psm13 91.5,,,"侵(91,nearest_jpn_13); 琉(0,threshold_jpn_10)",glyph_G04B4.png,UNRESOLVED_UNICODE
G04B6,C6 F4,3,F4,0x0496,尼,HIGH,"2 OCR votes, max 77.9",,,"尼(78,nearest_jpn_10); 慎(71,nearest_Japanese_10); 慣(30,threshold_jpn_10)",glyph_G04B6.png,UNRESOLVED_UNICODE
