glyph_index_hex,character,confidence,evidence_kind,evidence_note
043E,困,SUPPORTED,provided_context_high,Context inference (HIGH); examples: …そりゃ、<G043E>るだろうな！ | だろ それとも、いなくなったら 何か<G043E>るの？ | とこうと思って… また逃げられたら、<G043E>るしさ！
043F,婚,SUPPORTED,provided_context_high,Context inference (HIGH); examples: あのダンナさんと 結<G043F>したのか！ | して？ アロンソって、もしかして 結<G043F>したことが…？ | はは！、結<G043F>ごっこか？ でも、そういうのは 子供<G0
0442,査,SUPPORTED,provided_context_high,Context inference (HIGH); examples: アークリフの調<G0442>… なにか分かった？ | アークリフの調<G0442>… なにか分かった？
0444,再,SUPPORTED,provided_context_high,Context inference (HIGH); examples:  それって、また事<G0412>が <G0444>発するんじゃ…？ |  結界を<G0512>っている聖獣に<G0444>会し そこに<G0252><G048C>し | 聖地アークリフに<G053D>着し <G0444>び、グリフさまの お<G0461>を見た…
044C,際,SUPPORTED,provided_context_high,Context inference (HIGH); examples: 気持ちが若いのはいいけどさ 実<G044C>の<G01CA><G0848>も、考えてく | あのさ 神人を助けるっていっても 実<G044C>の<G028F>式では 神官の人たちって、 | あのさ 神人を助けるっていっても 実<G044C>の<G028F>式では 神官の人たちって、
0451,咲,SUPPORTED,provided_context_high,Context inference (HIGH); examples: 012C>ないよ、空から見たら 山に<G0451>く花も <G05B7><G02E3>に<G | 012C>ないよ、空から見たら 山に<G0451>く花も <G05B7><G02E3>に<G | よ ここに来れば、いつだって 元気に<G0451>いてるんだ…
0452,昨,SUPPORTED,provided_context_high,Context inference (HIGH); examples: それ、<G0452>日聞いたって… | 旅に必要な物は<G0452>日のうちに ガレージに持っていったし フラ
0460,姉,SUPPORTED,dialogue_context,お姉さん/ソフィー姉ちゃん/お・姉・さ・ん
046A,試,SUPPORTED,provided_context_high,Context inference (HIGH); examples: 1><G040C>とかアイデア 早く<G046A>してみたくてさ
0473,執,SUPPORTED,provided_context_high,Context inference (HIGH); examples: <G0473><G0549><G04B7>いウスノロに  | TRL:13>マ<CTRL:0F> <G0473>事さんに知らせてやろう<CTRL:13>マ | そういや、<G0473>事さん 気になることいってたよな ヘクトか
0474,失,SUPPORTED,provided_context_high,Supplied 試 corrected: 失敗作 is repeated in the examples. Original supplied note: Context inference (HIGH); examples: 作った時は、何もかも手探りで 結局、<G0474><G0553>作だったけど… これがなかっ | はは…、でも<G0474><G0553>作ってさ なんか<G0126 | はは…、でも<G0474><G0553>作ってさ なんか<G0126
047B,謝,SUPPORTED,provided_context_high,Context inference (HIGH); examples: して 飛行機に乗れてるんだもんな 感<G047B>してるよ、ホント！ | か、感<G047B>してるってば ……ちょっと不気味だけど | ちゃんと おじさんに<G047B>ったか？ ウソつかないで 本当のことを言っ
047E,借,SUPPORTED,provided_context_high,Context inference (HIGH); examples: また金<G047E>りたのか！ あ度は、だれに？ | 9 00> だったら、もうしばらく <G047E>りといても平気だよ アイツ、気が長いからさ | これだよ… <G047E>金は<G040C><G0330>的にって言
0480,寂,SUPPORTED,provided_context_high,Context inference (HIGH); examples: こに 行ってあげないの？ すん〜ごく<G0480>しがってるわよ！
0487,習,SUPPORTED,provided_context_high,Context inference (HIGH); examples:  分かってるわね！ ユウキ、あんた見<G0487>いなさいよ | 人がバカ」 って、学<G02F9>で<G0487>っただろ？ そういうことさ！ | その2人を見<G0487>うのは <G05B4><G04FB>あるよ
048A,誘,SUPPORTED,provided_context_high,Context inference (HIGH); examples: ！ また、いつもの <G07CA>に<G048A>われた話？ | えと… あの子、<G048A>われ… | きた 山<G02A7>みたいな大男に<G048A>われて 大変だったんだよ！
048C,住,SUPPORTED,provided_context_high,Context inference (HIGH); examples: ね… あたしには アンフォグの方が <G048C>みやすいけど… | ね… あたしには アンフォグの方が <G048C>みやすいけど… | ゃん、ここら辺に シュミットって人 <G048C>んでないかな？ 探してるんだ…
0499,助,SUPPORTED,dialogue_context,助けなきゃ/助かったって
04A2,照,SUPPORTED,provided_context_high,Context inference (HIGH); examples: あたりまえだろ！ 改まって言うのも <G04A2>れるけど… よろしくな、アルフィナ！ | 飛行機乗り…… へへっ、なんか<G04A2>れるな… まぁ、まだ<G023F><G05 | ははっ！ なに<G04A2>れてんだか
04A4,省,SUPPORTED,provided_context_high,Context inference (HIGH); examples: 3B6>しそうに言うね、おじさん 反<G04A4>してるの？ | じてるんだ<G0071>… 少しは反<G04A4>しろ！ | こいつ、よんよん 反<G04A4>してないな… どうしてやろうか…！
04A6,笑,SUPPORTED,provided_context_high,Context inference (HIGH); examples: なんか<G04A6>顔が ひきつってるけど… どうしたの？ | ぇ… 筋肉<G051E>になるまで <G04A6>うって…、大変だな | なんか<G04A6>顔が ひきつってるよ だいじょぶ？
04AA,障,SUPPORTED,provided_context_high,Context inference (HIGH); examples: レ、飛行機乗りなんだ！ 飛行機は、故<G04AA>中だけどね | レ、飛行機乗りなんだ！ 飛行機は、故<G04AA>中だけどね
04AD,情,SUPPORTED,provided_context_high,Context inference (HIGH); examples: 426>い、こだわりがあるだけに 強<G04AD>だからな！ | ッ、燃えるかまの熱さが おじさんの、<G04AD>熱の<G0278>度だッ！<CTRL:07 | く！、この<G0433>にいるのは <G04AD>けない連中ばっかりね 船がない船乗りなんて
04BC,図,SUPPORTED,dialogue_context,設計図
04BF,酔,SUPPORTED,provided_context_high,Context inference (HIGH); examples: 0 20 00> …って、ホントは、<G04BF>っ払って 夢でも見てたんじゃないの？ |  0E 00 01 00> そんなに<G04BF>っ払って なんかあったの？ | 船<G04BF>いか… オレ、どうなのかな
04C2,勢,SUPPORTED,provided_context_high,Context inference (HIGH); examples:  00 03 00>っと、いけね！ <G04C2>いで、おばさんに バラしちゃうとこだった！ | うわ…、豪<G04C2>だね！<CTRL:09 0E 00 03  | ははっ…、ウル すごい<G04C2>いで食べ<G02E4>めたな…
04C5,整,SUPPORTED,provided_context_high,Context inference (HIGH); examples: 09 0E 00 02 00> 微調<G04C5>を<G0263>わらせれば いつだって飛べ | ッツと<G01D4><G0263>調<G04C5>しないと！ | 準備が<G04C5>ったら ヘルアセルに向けて出発だ！ 気を、
04CE,昔,SUPPORTED,provided_context_high,Context inference (HIGH); examples: C0><G0508>サロンだもんね <G04CE>っから！ | 物ねぇ…<CTRL:09> そういや<G04CE>はオレも ミランダが<G058F>んだセー | に立つ品物を<G0133>ってるし <G04CE>より、いい<G0529>に なったと思うよ
04CF,積,SUPPORTED,provided_context_high,Context inference (HIGH); examples: でっかいわねぇ… こんなの<G04CF>んで、本当に 空なんて飛べるもんなの？ | ああ…、これだけの エンジンを<G04CF>めば ミランダだって乗せて飛べるさ 1<G
04D0,責,SUPPORTED,provided_context_high,Context inference (HIGH); examples: E 00 02 00>だから、自分を<G04D0>めないで アルフィナ |  ああいういい方されると オレたちも<G04D0>任感じるよな | E 00 02 00>だから、自分を<G04D0>めないで アルフィナ
04D1,設,SUPPORTED,provided_context_high,Context inference (HIGH); examples: だ 前の日の<G05B6>に考えた <G04D1><G040C>とかアイデア 早く<G046 | に生み出した 1<G0039>号機の<G04D1><G040C>図 まさに<G06EA>術だ | はは… <G04D1><G040C>図から、ガラクタまで キレイ
04D8,洗,SUPPORTED,provided_context_high,Context inference (HIGH); examples: ちゃんと自分で<G04D8>ってるよ なぁ、アルフィナ？ | 落っことしたら また<G04D8><G06FB>やりなおし？ | そうだよな <G06B2>事、<G04D8>い物、<G04D8>たく、<G04E3><
04D9,染,SUPPORTED,provided_context_high,Context inference (HIGH); examples: 海まで、<G019A>く<G04D9>まってる…<CTRL:09 0E 00 0
04E1,思,SUPPORTED,dialogue_context,熱い思い/思いがあれば
04E6,相,SUPPORTED,dialogue_context,お相手/相手は
04EC,像,SUPPORTED,provided_context_high,Context inference (HIGH); examples: るだけなのに …みんな、まったく 思<G04EC>力たくましいよ！ | 0342>、とてつもなく 恐ろしい思<G04EC>を…！ | BD>を流してたなんて… よんよん思<G04EC>できないな…
04F1,息,SUPPORTED,provided_context_high,Context inference (HIGH); examples: ソフィー姉ちゃん どうしたの、ため<G04F1>なんか ついちゃってさ | ソフィー姉ちゃん どうしたの、ため<G04F1>なんか ついちゃってさ | その間 <G04F1>すって生きてんだ そりゃ変わるさ
04F3,弱,SUPPORTED,provided_context_high,Context inference (HIGH); examples: ほ〜んと、こういうとき 女って<G04F3>よねぇ 代わりに、ユウキでも 人質にすれば
04F4,待,SUPPORTED,dialogue_context,待ってよ/待たせる/待ってる
04F6,替,SUPPORTED,provided_context_high,Context inference (HIGH); examples: らしいよ ミランダが、サイコロ すり<G04F6>えるの見たってさ | ナの<G028F>式だ 気持ち、切り<G04F6>えないとな<CTRL:07 0E 00 0
04F8,退,SUPPORTED,provided_context_high,Context inference (HIGH); examples: じょうぶ もう、オレとミランダで 撃<G04F8>したから！<CTRL:07 0E 00 0 | なに言ってんだよ… あの大男は撃<G04F8>したから もうだいじょうぶだよ！ | こ 空の上でオレやアルフィナまで 撃<G04F8>されたらたまんないし
04FE,巣,SUPPORTED,provided_context_high,Context inference (HIGH); examples: 飛竜の<G04FE>かぁ 連れてってくれよ、オレも！ | かオレも連れてってくれよ その飛竜の<G04FE>ってところに！ | 飛竜の<G04FE>かぁ 連れてってくれよ、オレも！
04FF,担,SUPPORTED,provided_context_high,Context inference (HIGH); examples: 家事は分<G04FF>してるけど… <G03B4>かに大変だよな
0502,誕,SUPPORTED,provided_context_high,Context inference (HIGH); examples: ん〜、あ日って だれかの<G0502>生日とかだっけ？ | やっぱり、いいや 「スキルの<G0502>生」を読もう 「このブックを見よ」を読もう | やめておきましょう では、「スキルの<G0502>生」を… では、「このブックを見よ」を で
0509,恥,SUPPORTED,provided_context_high,Context inference (HIGH); examples: 058F>んであったりさ、あんなの <G0509>ずかしくて着られるかよ… | なんか <G0509>ずかしい小説だな…… | そんな <G0509>ずかしいタイトルの小説 読みたくないな…
0511,貯,SUPPORTED,provided_context_high,Context inference (HIGH); examples: ロッツとふたりで 必死にお金<G0511>めたよなぁ フライトユニット<G0132>
0516,街,SUPPORTED,provided_context_high,Context inference (HIGH); examples: あんがい、その子 あ頃、どこか大きな<G0516>で 幸せに<G0593>らしてたりしてな！ | に<G04D7>に荒<G05B7>に<G0516>…<CTRL:07 0E 00 09 00 | 門<G0529>か… <G0433><G0516>だよな！
051A,直,SUPPORTED,dialogue_context,直接/仲直り/正直/真っ直ぐ
051C,珍,SUPPORTED,provided_context_high,Context inference (HIGH); examples: ディスさんあてに 大<G02EF>の<G051C>しい物が<G0163>くと 必ず、お<G0 | ディスさんあてに 大<G02EF>の<G051C>しい物が<G0163>くと 必ず、お<G0 | ウルの<G0364><G0365> <G051C>しがってんじゃないか？
051D,墜,SUPPORTED,provided_context_high,Context inference (HIGH); examples: ああ…、オレの飛行機さ <G051D>落したんだ… ごめんな、村長… | 行ってくれた1<G0038>号機… <G051D>落のせいで あじゃコックピットだけに…<C | い<G01D4><G020F>まで <G051D>落しまくってたんだよな オレ…
051F,主,SUPPORTED,provided_context_high,Context inference (HIGH); examples: あら、ダメよ！ <G051F><G02FE>は、ちゃんと <G02E6> | > はは〜ん <G035A>れてたご<G051F><G02FE>、ちゃんと わびを入れたって
0529,店,SUPPORTED,provided_context_high,Context inference (HIGH); examples: でもさ あ、お<G0529>は <G0523>さんが、やってるんじゃ… | あの<G0529>、道具屋っていうか <G02C0><G05 | あの<G0529>は、<G02C0><G0508>サロンだも
052E,途,SUPPORTED,provided_context_high,Context inference (HIGH); examples: まぁな… <G052E>中で分かれてさ いまは、この<G0033> |  なまけてるわけじゃないんだよ 旅の<G052E>中なんだ <G0514>だって早起きさ | 旅の<G052E>中でさ ちょっと<G0768>給によったん
052F,都,SUPPORTED,provided_context_high,Context inference (HIGH); examples: もさ！、もしかしたら ただ村を出て <G052F>会に向かっただけかもよ<CTRL:07 0 |  0E 00 24 00> ホント、<G052F>会って <G05BA>断できないんだから | …そ、そうか… これが<G052F>会の思考法なのか…？
053B,答,SUPPORTED,provided_context_high,Context inference (HIGH); examples: RL:07 0E 00 0A 00><G053B>えはきっと見つかる！ | <G053B>えはきっと見つかる！ 探しにいこう、アルフ | CTRL:13>マ<CTRL:0F><G053B>えは出た？<CTRL:13>マ<CTRL:
053D,到,SUPPORTED,provided_context_high,Context inference (HIGH); examples: いよいよ、メンディに<G053D>着かぁ 会えるかな、シュミットに | い旅路の果て 人々は聖地アークリフに<G053D>着し <G0444>び、グリフさまの お< | いよいよ、メンディに<G053D>着かぁ 会えるかな、シュミットに
053F,豆,SUPPORTED,provided_context_high,Context inference (HIGH); examples: その村の人は えんどう<G053F>を食べると アルフィナを 思い出すのかもな | ん？、どうしたんだ、ウル まさか <G053F>がキライとか…？ | えんどう<G053F>？ アークリフで<G0384>ててたの？
0542,同,SUPPORTED,provided_context_high,Context inference (HIGH); examples: ？ オレにとっては 化石時代の話と、<G0542>じだよ… | 0E 00 09 00> オレの空と<G0542>じように！ | 07 0E 00 09 00>でも、<G0542>じにおいがしたんだ オレやロッツと…… そ
0548,認,SUPPORTED,provided_context_high,Context inference (HIGH); examples: … あいつの逃げ道を <G03B4><G0548>しとこうと思って… また逃げられたら、<G | えるんだ！ それも、明日さ！ オレ、<G0548>められたんだよ あの飛行王シュミットに！ | ああ…、グライダーで <G03B4><G0548>ずみさ…、だけど… あ度こそ、あの荒れた空
054B,悩,SUPPORTED,provided_context_high,Context inference (HIGH); examples: ぶだよ、アルフィナ いったろ？ もう<G054B>まなくていいって！<CTRL:07 0E  | 13>マ<CTRL:19> たぶん、<G054B>みすぎ、<CTRL:13>マ<CTRL:0 | なに<G054B>んでんの？ サイフでも落とした？
054C,納,SUPPORTED,provided_context_high,Context inference (HIGH); examples: れにあ日で この<G079D>めも見<G054C>めだと思うと いつもとちがって見える…
054F,派,SUPPORTED,provided_context_high,Context inference (HIGH); examples:  0E 00 02 00> 結構、立<G054F>な家になったよな | さぁ！、あの<G054F>手なテントに 行かなきゃ！ | この立<G054F>な<G033C>の持ち<G02FE>も ア
0553,敗,SUPPORTED,provided_context_high,Context inference (HIGH); examples: もかも手探りで 結局、<G0474><G0553>作だったけど… これがなかったら あの1< | G0327>してやるよ！ ダーナ、勝<G0553>を<G04D4>ってあげてよ 景気つけてや | はは…、でも<G0474><G0553>作ってさ なんか<G0126>てられなくな
0558,泊,SUPPORTED,dialogue_context,泊まれるテント/宿泊する
0568,飯,SUPPORTED,provided_context_high,Context inference (HIGH); examples: よしっ、<G0569><G0109><G0568>は アジフライに<G0410>まりね！ 戻 | ィーカップが 置いてある… ここでご<G0568>、食べるとき 使うのかな？ | トさん <G0569><G0109><G0568>は、要らないそうだよ そこにいる男の人に
0569,晩,SUPPORTED,provided_context_high,Context inference (HIGH); examples: ミランダ、あ日から<G0569>ごはんは 自分で作ってくれよな…！<CTR | …けど、ミランダ、何でオレに <G0569>メシ作らせるんだ？ <G05D9>理の本、 | RL:13>マ<CTRL:19>ひと<G0569>たてば スッキリするもんよ<CTRL:13
056E,比,SUPPORTED,provided_context_high,Context inference (HIGH); examples: まぁ、この村と<G056E>べるとな<CTRL:09 0E 00 0B | もいいとこだよ！ ビアンカの強烈さに<G056E>べたらさ | 機でも、船でもさ！ 空や海の大きさに<G056E>べたら…
056F,疲,SUPPORTED,provided_context_high,Context inference (HIGH); examples: くないんだ…… そうだな、あ日はもう<G056F>れたよ | マ<CTRL:1E> いろいろあって<G056F>れたっしょ<CTRL:13>マ<CTRL: | 13>マ<CTRL:1E> ちょっと<G056F>れてるんじゃない<CTRL:13>マ<CT
0570,被,SUPPORTED,provided_context_high,Context inference (HIGH); examples: RL:07 0E 00 0B 00><G0570><G03B0>は…、そうだな グラディスさ
057D,婦,SUPPORTED,provided_context_high,Context inference (HIGH); examples: が立たないんじゃない？ 夫として、夫<G057D>としてぇ！ | やっぱり夫<G057D>だな あの2人… | 夫<G057D><G0058>？<CTRL:13>マ<CT
0580,動,SUPPORTED,provided_context_high,Context inference (HIGH); examples: 16>の入口のリフトもさ どうやって<G0580>いてるんだろ フライトユニットじゃ ないよ | 16>の入口のリフトもさ どうやって<G0580>いてるんだろ フライトユニットじゃ ないよ | 16>の入口のリフトもさ どうやって<G0580>いてるんだろ フライトユニットじゃ ないよ
0584,腹,SUPPORTED,provided_context_high,Context inference (HIGH); examples: やオレ まだメシ食ってないんだ 少し<G0584>へったな… | E 00 08 00> オ、オレ、お<G0584>いっぱいでさ！ またねっ！、さよなら！ 行 | そろ行くか？ さすがのウルも もうお<G0584>、いっぱいだろ？
058A,並,SUPPORTED,provided_context_high,Context inference (HIGH); examples: るほどね…、当たりカードが たくさん<G058A>べばいいのか…<CTRL:09 0E 00 |  いずれ、この中に アークリフの花が<G058A>ぶんだろう それで、<G03B2>のみんな | いっ？、<G058A>ぶの？<CTRL:09 0E 00 08
058B,閉,SUPPORTED,provided_context_high,Context inference (HIGH); examples: なぁ、アロンソ ここの門、どうして <G058B>まってるんだ？ | 門が<G058B>まってる… ビアンカのしわざか？ アロンソ | <G058B>まってるな… アルフィナ、この<G056D
0591,勉,SUPPORTED,provided_context_high,Context inference (HIGH); examples: …オレも<G0591>強して、いつか 自力で、こんな立<G054 | 「<G05D9>理も、もっと<G0591>強すると 、いいじゃろう…」<CTRL:0 | どうやら、ミリトさんは 神話の<G0591>強で <G059E>しいらしいんだ それで
0592,捕,SUPPORTED,provided_context_high,Context inference (HIGH); examples: あきらめて戻るさ！ グラディスさんに<G0592>まるような <G05B7>鳥は、いないから | ってんの？ いまの見たでしょ なんで<G0592>まえないのよ！ | ユウキ！、いまは あのドロボウを<G0592>まえるのが 先でしょ！ ほらっ、行くわよ！
0593,暮,SUPPORTED,provided_context_high,Context inference (HIGH); examples: どこか大きな<G0516>で 幸せに<G0593>らしてたりしてな！ | あいつ家を<G0415>てて ひとり<G0593>らしするって 言い出したんだよな | 0E 00 24 00>こんな部屋で<G0593>らしてて よくノイローゼにならないわね
059B,飽,SUPPORTED,provided_context_high,Context inference (HIGH); examples: …<G059B>きちゃう？ | 行かないの？ もしかして 何度も見て<G059B>きちゃったとか？
059C,亡,SUPPORTED,provided_context_high,Context inference (HIGH); examples: それが、あでは <G059C>くなったはずの<G04F1>子さんを 探し | それが、あでは <G059C>くなったはずの<G04F1>子さんを 探し
059E,忙,SUPPORTED,provided_context_high,Context inference (HIGH); examples: おじさん、仕事？ 相変わらず<G059E>しそうだね | オレ、<G059E>しいからさ またあ度ね！ | トさんは 神話の<G0591>強で <G059E>しいらしいんだ それで、ご<G0568>は
05A6,毎,SUPPORTED,provided_context_high,Context inference (HIGH); examples: おばさんも<G05A6>日、大変だよな…<CTRL:09 0E 0
05A8,慢,SUPPORTED,provided_context_high,Context inference (HIGH); examples: へへ…、我<G05A8>できなかったんだ 前の日の<G05B6>に | だね さすがに速いよ 自<G05A8>の船だけあって | っと… なんだ、おじさん 自<G05A8>したいのか
05AA,未,SUPPORTED,provided_context_high,Context inference (HIGH); examples: <G05AA>来を見る…？ そんなことできるのか？ | そういう時はさ 考えるんだ、<G05AA>知の世界を！ 飛行機でも、船でもさ！ 空や | ひとつひとつが精<G05AB>で… <G05AA><G0320>成なのに、もうパワーが みな
05BA,油,SUPPORTED,provided_context_high,Context inference (HIGH); examples: 0> ホント、<G052F>会って <G05BA>断できないんだから | G0181>くて悪かったな！ けど、<G05BA>で<G0181>れたジャケットは 飛行機乗
05BC,友,SUPPORTED,provided_context_high,Context inference (HIGH); examples: ああ… オレと親<G05BC>の工<G0612> 夢のガレージさ… | どうしたんだ ヒマそうにしてさ <G05BC>達って…、いつもの女の子と 遊べばいいだろ | 名探<G0867>オットー メリー <G05BC>達のリック
05BE,由,SUPPORTED,dialogue_context,理由
05C4,予,SUPPORTED,provided_context_high,Context inference (HIGH); examples: おばさんと、おばあさんと その<G05C4>備軍か… | おっ、トラブルの<G05C4>感！ やっぱ旅は、こうでないとな！ | んか、お<G0406>さん そういう<G05C4>言者みたいな<G0722>囲気 まったく感
05C8,容,SUPPORTED,provided_context_high,Context inference (HIGH); examples: 当たりがないよ 事<G0412>の内<G05C8> <G037E>頼人の事 <G071B>人 | 当たりがないよ 事<G0412>の内<G05C8> <G037E>頼人の事 <G071B>人 | 当たりがないよ 事<G0412>の内<G05C8> <G037E>頼人の事 <G071B>人
05CC,葉,SUPPORTED,provided_context_high,Context inference (HIGH); examples: …また焼こうよ あの言<G05CC>が <G023F>しいツボ焼き伝説の 1ペ | …落後者？ <G0376>しい言<G05CC>、知ってるんだな 意味、分かってんのか？ | 黒い球は封じられたが 誰も聖獣と言<G05CC>が通じない <G043E>り果てた、その時
05CD,要,SUPPORTED,dialogue_context,必要なのか/必要になったら/必要ない
05CE,欲,SUPPORTED,provided_context_high,Context inference (HIGH); examples: 013C>くんだよ グラディスさんの<G05CE><G059F>は… | るのか こんな機能 オレの飛行機にも<G05CE>しいな…<CTRL:09 0E 00 0A | るのか こんな機能 オレの飛行機にも<G05CE>しいな…<CTRL:09 0E 00 0A
05D4,理,SUPPORTED,dialogue_context,理由/理解した
05D7,慮,SUPPORTED,provided_context_high,Context inference (HIGH); examples: 遠<G05D7>しとくわ
05D9,料,SUPPORTED,provided_context_high,Context inference (HIGH); examples: E 00 01 00> 「おまえの手<G05D9>理が食べたい 、、、、、、、、、、、エド」 | え？、だけど、こないだ 給<G05D9>が入って 金を<G0209>せるとか言って | 7 0E 00 01 00>ふ〜ん <G05D9>理の本が多いんだ… こんな時でなきゃ 見に
05E1,礼,SUPPORTED,provided_context_high,Context inference (HIGH); examples: <G05E1>なんて…<CTRL:09 0E 00 09 | <G05E1>なんて…<CTRL:09 0E 00 09 | <G05E1>なんて…<CTRL:09 0E 00 09
05E7,労,SUPPORTED,provided_context_high,Context inference (HIGH); examples: 02 00> …そういや、あそこ 苦<G05E7>して<G0415>てたよな、みんなで | ああ、苦<G05E7>したけどね そっちもなんとか | 船は進まない、か… 飛行機にはない苦<G05E7>だな
060F,賛,SUPPORTED,provided_context_high,Context inference (HIGH); examples: あたしは<G060F>成だけどねぇ…！ | 7 0E 00 1E 00>あたしも<G060F>成<CTRL:13>マ<CTRL:0F>  | っ！、オレも ウルはキーウィってのに<G060F>成！ 毛が生えてるし…
061B,緒,SUPPORTED,provided_context_high,Context inference (HIGH); examples: ガシャンおじさんと 一<G061B>にするなよっ！ オレは、ちゃんと飛べるんだ | ち、ちがうって！ いろいろあって 一<G061B>に旅する事になっただけさ ヘンなこと、言う | けど、ミランダには 内<G061B>だよ！
06A6,歳,SUPPORTED,provided_context_high,Context inference (HIGH); examples: ちぇっ、オレもう そんな<G06A6>じゃないよ！ | んたが船に 乗ったのが<G0035><G06A6>のときか…<CTRL:09 0E 00 2 | からね、あれはたしか <G0033><G06A6>のとき<G0865><G0865>
06FE,迫,SUPPORTED,provided_context_high,Context inference (HIGH); examples: なんか…、ここにいると おじさんの気<G06FE>に 飲まれそうだな… | 見たんだ<CTRL:07>ものすごい<G06FE>力だった いまにも<G0330>面から 飛 | 鬼気<G06FE>る…、ってやつか 飛行王シュミット… もう
070D,締,SUPPORTED,provided_context_high,Context inference (HIGH); examples: ルアセルに向けて出発だ！ 気を、引き<G070D>めて 行かないとな！ | ルアセルに向けて出発だ！ 気を、引き<G070D>めて 行かないとな！ | ルアセルに向けて出発だ！ 気を、引き<G070D>めて 行かないとな！
070E,充,SUPPORTED,provided_context_high,Context inference (HIGH); examples: 2 00> よしっ、バッチリ！ まだ<G070E>電しなくても 大丈夫だな！ | な時間、見つけて フライトユニットの<G070E>電 やっとかないとな<CTRL:07 0E | <G0008> フライトユニットを <G070E>電しさえすれば<CTRL:13>マ<CTR
0848,齢,SUPPORTED,provided_context_high,Context inference (HIGH); examples: さ 実<G044C>の<G01CA><G0848>も、考えてくれよ… | ベッドだよ… ったく、<G01CA><G0848>を考えろって…<CTRL:07 0E 00
085C,夢,SUPPORTED,provided_context_high,Context inference (HIGH); examples: 少<G01CA>よッ！！ <G085C>とは何かッ？ | ったく、なんだってのよ… <G085C>が<G01CC>れたのは あたしのせい？ | をこねる前に、<G0320>成した <G085C>をイメージしてるんだよ… こう見えても、お
088E,名,SUPPORTED,provided_context_high,Context inference (HIGH); examples: なんだ、このヘンな<G088E>前…？
